"Status","Year","Age","Disability","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Analysis","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Counter Fraud","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Counter Fraud","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Debt","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Debt","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Debt","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Debt","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Debt","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Debt","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Debt","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data & Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data & Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data & Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data & Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data & Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Grants Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","Wales","[c]","[c]","[c]","[c]"
