"Status","Year","Age","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","15","15","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","20","20","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Analysis","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Commercial","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Communications","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Debt","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data & Technology","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Finance","25","25","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Human Resources","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Legal","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","230","215","21410","20600"
"In post","2021","16-19","Declared non-disabled","Project Delivery","70","70","18570","17780"
"In post","2021","16-19","Declared non-disabled","Property","20","20","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Security","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","255","250","22510","21010"
"In post","2021","16-19","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","No function","15","15","[c]","[c]"
"In post","2021","16-19","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Analysis","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Commercial","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Communications","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Debt","35","35","20140","20140"
"In post","2021","16-19","Unknown","Digital, Data & Technology","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Finance","10","5","[c]","[c]"
"In post","2021","16-19","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Legal","20","20","[c]","[c]"
"In post","2021","16-19","Unknown","No function","235","220","20650","20140"
"In post","2021","16-19","Unknown","Project Delivery","60","60","17450","16780"
"In post","2021","16-19","Unknown","Property","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Security","15","15","[c]","[c]"
