"Status","Year","Age","Disability","Organisation","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Accountant in Bankruptcy","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Advisory, Conciliation and Arbitration Service","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Advisory, Conciliation and Arbitration Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Animal and Plant Health Agency","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Animal and Plant Health Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cabinet Office (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cabinet Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Companies House","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Commercial Service","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Commercial Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Office and Procurator Fiscal Service","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Prosecution Service","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Prosecution Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Prosecution Service Inspectorate","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Electronics and Components Agency","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Electronics and Components Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Equipment and Support","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Equipment and Support","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Science and Technology Laboratory","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Science and Technology Laboratory","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education (excl. agencies)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for International Trade","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Transport (excl. agencies)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","AO","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department of Health and Social Care (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Disclosure Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Driver and Vehicle Licensing Agency","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Driver and Vehicle Licensing Agency","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Driver and Vehicle Licensing Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Driver and Vehicle Standards Agency","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Driver and Vehicle Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Education and Skills Funding Agency","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Education and Skills Funding Agency","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","FCDO Services","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Forestry and Land Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Government Actuary's Department","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Health and Safety Executive","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Courts and Tribunals Service","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Courts and Tribunals Service","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Courts and Tribunals Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Land Registry","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Land Registry","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Prison and Probation Service","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Prison and Probation Service","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Prison and Probation Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
