"Status","Year","Age","Disability","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Accountant in Bankruptcy","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Accountant in Bankruptcy","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Advisory, Conciliation and Arbitration Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Animal and Plant Health Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Animal and Plant Health Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Companies House","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Companies House","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Commercial Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Commercial Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Office and Procurator Fiscal Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Office and Procurator Fiscal Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Office and Procurator Fiscal Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Prosecution Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Prosecution Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Prosecution Service Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Prosecution Service Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Prosecution Service Inspectorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Electronics and Components Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Equipment and Support","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Equipment and Support","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Science and Technology Laboratory","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Science and Technology Laboratory","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Science and Technology Laboratory","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for International Trade","Male","[c]","[c]","[c]","[c]"
