"Status","Year","Age","Disability","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Female","30","30","[c]","[c]"
"In post","2021","16-19","Declared disabled","Male","25","25","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Female","370","355","21980","21010"
"In post","2021","16-19","Declared non-disabled","Male","320","315","21270","21010"
"In post","2021","16-19","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Female","20","15","[c]","[c]"
"In post","2021","16-19","Undeclared","Male","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Female","260","250","20960","20140"
"In post","2021","16-19","Unknown","Male","300","290","20390","20140"
"In post","2021","20-29","Declared disabled","Female","2935","2865","28950","27570"
"In post","2021","20-29","Declared disabled","Male","1995","1975","28930","27570"
"In post","2021","20-29","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Female","25640","25100","29020","27570"
"In post","2021","20-29","Declared non-disabled","Male","20860","20715","29460","27570"
"In post","2021","20-29","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Female","1380","1355","30290","28500"
"In post","2021","20-29","Undeclared","Male","1385","1375","30790","28720"
"In post","2021","20-29","Unknown","Female","12030","11815","28440","27130"
"In post","2021","20-29","Unknown","Male","11165","11075","28740","27150"
"In post","2021","20-29","Unknown","Unknown","20","20","[c]","[c]"
"In post","2021","30-39","Declared disabled","Female","4710","4325","32220","28200"
"In post","2021","30-39","Declared disabled","Male","3425","3375","33180","29290"
"In post","2021","30-39","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Female","37915","34370","33750","29750"
"In post","2021","30-39","Declared non-disabled","Male","31320","31050","35190","31300"
"In post","2021","30-39","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Female","2710","2480","33420","30180"
"In post","2021","30-39","Undeclared","Male","2735","2710","35370","31810"
"In post","2021","30-39","Unknown","Female","10170","9440","34490","30910"
"In post","2021","30-39","Unknown","Male","10395","10295","35110","31810"
"In post","2021","30-39","Unknown","Unknown","15","15","[c]","[c]"
"In post","2021","40-49","Declared disabled","Female","7210","6435","32130","27570"
"In post","2021","40-49","Declared disabled","Male","4590","4480","33870","29290"
"In post","2021","40-49","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared non-disabled","Female","43675","38980","35180","29690"
"In post","2021","40-49","Declared non-disabled","Male","33175","32780","38250","32250"
"In post","2021","40-49","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Undeclared","Female","3205","2900","33850","30450"
"In post","2021","40-49","Undeclared","Male","3620","3565","35820","31810"
