"Status","Year","Age","Disability","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Heterosexual / straight","35","35","21810","21010"
"In post","2021","16-19","Declared disabled","LGBO","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Heterosexual / straight","610","590","21700","21010"
"In post","2021","16-19","Declared non-disabled","LGBO","40","40","21780","21010"
"In post","2021","16-19","Declared non-disabled","Undeclared","30","25","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Undeclared","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Undeclared","10","5","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Heterosexual / straight","60","60","21720","21690"
"In post","2021","16-19","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","485","465","20480","20140"
"In post","2021","20-29","Declared disabled","Heterosexual / straight","3395","3335","28910","27570"
"In post","2021","20-29","Declared disabled","LGBO","1020","1000","28960","27570"
"In post","2021","20-29","Declared disabled","Undeclared","335","325","29460","27570"
"In post","2021","20-29","Declared disabled","Unknown","180","175","28510","27570"
"In post","2021","20-29","Declared non-disabled","Heterosexual / straight","38695","38115","29110","27570"
"In post","2021","20-29","Declared non-disabled","LGBO","3675","3640","30120","27570"
"In post","2021","20-29","Declared non-disabled","Undeclared","2180","2145","30440","27980"
"In post","2021","20-29","Declared non-disabled","Unknown","1955","1915","28290","27570"
"In post","2021","20-29","Undeclared","Heterosexual / straight","1245","1225","29460","27570"
"In post","2021","20-29","Undeclared","LGBO","265","265","29520","27570"
"In post","2021","20-29","Undeclared","Undeclared","875","860","30940","28650"
"In post","2021","20-29","Undeclared","Unknown","380","375","33900","33460"
"In post","2021","20-29","Unknown","Heterosexual / straight","3760","3715","30310","28840"
"In post","2021","20-29","Unknown","LGBO","455","450","31460","29240"
"In post","2021","20-29","Unknown","Undeclared","550","540","28650","27400"
"In post","2021","20-29","Unknown","Unknown","18455","18200","28160","26410"
"In post","2021","30-39","Declared disabled","Heterosexual / straight","6035","5690","32510","28700"
"In post","2021","30-39","Declared disabled","LGBO","1015","985","33340","29540"
"In post","2021","30-39","Declared disabled","Undeclared","675","635","32650","27570"
"In post","2021","30-39","Declared disabled","Unknown","420","390","32460","27770"
"In post","2021","30-39","Declared non-disabled","Heterosexual / straight","56005","53015","34520","30830"
"In post","2021","30-39","Declared non-disabled","LGBO","3680","3620","36000","31670"
"In post","2021","30-39","Declared non-disabled","Undeclared","3660","3460","34680","31060"
