"Status","Year","Age","Ethnicity","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Work and Pensions","London","5","5","[c]","[c]"
"In post","2021","16-19","Asian","Department for Work and Pensions","Outside London","15","15","[c]","[c]"
"In post","2021","16-19","Asian","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department of Health and Social Care","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department of Health and Social Care","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HM Revenue and Customs","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Asian","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Home Office","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Home Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Justice","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Office for Standards in Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Other Cabinet Office Agencies","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Scotland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","United Kingdom Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Work and Pensions","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department of Health and Social Care","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department of Health and Social Care","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HM Revenue and Customs","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Home Office","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Home Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Ministry of Justice","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Office for Standards in Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Other Cabinet Office Agencies","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Scotland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","United Kingdom Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
