"Status","Year","Age","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Work and Pensions","20","20","[c]","[c]"
"In post","2021","16-19","Asian","Department of Health and Social Care","5","5","[c]","[c]"
"In post","2021","16-19","Asian","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HM Revenue and Customs","10","10","[c]","[c]"
"In post","2021","16-19","Asian","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Home Office","5","5","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
