"Status","Year","Age","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Operational Delivery","20","15","[c]","[c]"
"In post","2021","16-19","Asian","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Tax","10","10","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","20","20","[c]","[c]"
"In post","2021","16-19","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Operational Delivery","5","5","[c]","[c]"
"In post","2021","16-19","Mixed","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Economics","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Finance","10","5","[c]","[c]"
"In post","2021","16-19","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Operational Delivery","180","170","20860","20850"
"In post","2021","16-19","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Other","60","60","19020","16780"
"In post","2021","16-19","Unknown","Policy","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Property","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Science and Engineering","45","45","16860","16780"
"In post","2021","16-19","Unknown","Security","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Tax","90","90","20310","20140"
"In post","2021","16-19","Unknown","Unknown","60","60","21530","20800"
"In post","2021","16-19","White","Commercial","5","5","[c]","[c]"
"In post","2021","16-19","White","Communications","5","5","[c]","[c]"
"In post","2021","16-19","White","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2021","16-19","White","Economics","15","15","[c]","[c]"
"In post","2021","16-19","White","Finance","30","30","[c]","[c]"
"In post","2021","16-19","White","Human Resources","15","15","[c]","[c]"
"In post","2021","16-19","White","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Operational Delivery","205","195","21550","21430"
"In post","2021","16-19","White","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Other","25","25","[c]","[c]"
"In post","2021","16-19","White","Policy","25","25","[c]","[c]"
"In post","2021","16-19","White","Project Delivery","10","10","[c]","[c]"
"In post","2021","16-19","White","Property","15","15","[c]","[c]"
"In post","2021","16-19","White","Science and Engineering","70","70","18180","17780"
"In post","2021","16-19","White","Security","5","5","[c]","[c]"
"In post","2021","16-19","White","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Tax","45","45","20500","20140"
"In post","2021","16-19","White","Unknown","220","215","22050","21010"
"In post","2021","20-29","Asian","Commercial","40","40","30690","30090"
"In post","2021","20-29","Asian","Communications","45","45","32380","33150"
"In post","2021","20-29","Asian","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Counter Fraud","5","5","[c]","[c]"
"In post","2021","20-29","Asian","Digital, Data and Technology","155","155","33320","31810"
"In post","2021","20-29","Asian","Economics","105","105","36170","32970"
"In post","2021","20-29","Asian","Finance","120","120","32360","30750"
"In post","2021","20-29","Asian","Human Resources","75","75","31430","29360"
"In post","2021","20-29","Asian","Intelligence Analysis","20","20","[c]","[c]"
"In post","2021","20-29","Asian","Internal Audit","10","10","[c]","[c]"
"In post","2021","20-29","Asian","International Trade","40","40","34810","32300"
"In post","2021","20-29","Asian","Knowledge and Information Management","25","25","[c]","[c]"
"In post","2021","20-29","Asian","Legal","100","100","34400","29570"
"In post","2021","20-29","Asian","Medicine","10","10","[c]","[c]"
"In post","2021","20-29","Asian","Operational Delivery","1710","1645","25070","24440"
"In post","2021","20-29","Asian","Operational Research","20","20","[c]","[c]"
"In post","2021","20-29","Asian","Other","155","155","30850","28420"
"In post","2021","20-29","Asian","Planning","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Policy","565","565","36750","33960"
"In post","2021","20-29","Asian","Project Delivery","120","120","32860","32780"
"In post","2021","20-29","Asian","Property","30","30","30960","30000"
"In post","2021","20-29","Asian","Psychology","10","10","[c]","[c]"
