"Status","Year","Age","Ethnicity","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Birmingham","5","5","[c]","[c]"
"In post","2021","16-19","Asian","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Brent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Derby","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ealing","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Haringey and Islington","[c]","[c]","[c]","[c]"
