"Status","Year","Age","Ethnicity","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","London","Female","10","10","[c]","[c]"
"In post","2021","16-19","Asian","London","Male","10","5","[c]","[c]"
"In post","2021","16-19","Asian","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Outside London","Female","20","20","[c]","[c]"
"In post","2021","16-19","Asian","Outside London","Male","25","25","[c]","[c]"
"In post","2021","16-19","Asian","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","London","Female","10","10","[c]","[c]"
"In post","2021","16-19","Black","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Outside London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Mixed","Outside London","Male","10","10","[c]","[c]"
"In post","2021","16-19","Mixed","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Outside London","Female","[c]","[c]","[c]","[c]"
