"Status","Year","Age","Ethnicity","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","AA/AO","Heterosexual / straight","45","40","21140","21010"
"In post","2021","16-19","Asian","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Asian","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Black","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Black","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Mixed","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","EO","LGBO","[c]","[c]","[c]","[c]"
