"Status","Year","Age","Function_of_post","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","London","EO","20","20","26850","26510"
"In post","2021","16-19","Analysis","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South West (England)","AO","5","5","[c]","[c]"
"In post","2021","16-19","Communications","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","London","AO","5","5","[c]","[c]"
"In post","2021","16-19","Communications","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Northern Ireland","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Wales","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Yorkshire and The Humber","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","North East (England)","AO","15","15","20140","20140"
"In post","2021","16-19","Debt","North West (England)","AO","5","5","[c]","[c]"
"In post","2021","16-19","Debt","Scotland","AO","20","20","20140","20140"
"In post","2021","16-19","Debt","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Wales","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","West Midlands (England)","AO","5","5","[c]","[c]"
"In post","2021","16-19","Debt","Yorkshire and The Humber","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","South West (England)","AA","10","10","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Wales","EO","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","West Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Finance","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Scotland","AO","10","5","20140","20140"
"In post","2021","16-19","Finance","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","South West (England)","EO","20","20","19540","19040"
"In post","2021","16-19","Finance","Wales","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","London","AO","5","5","[c]","[c]"
"In post","2021","16-19","Human Resources","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Wales","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","London","AO","5","5","[c]","[c]"
"In post","2021","16-19","Legal","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Scotland","AO","5","5","[c]","[c]"
"In post","2021","16-19","Legal","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Wales","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","West Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Yorkshire and The Humber","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","East Midlands (England)","AA","10","10","20010","20600"
"In post","2021","16-19","No function","East Midlands (England)","AO","15","15","21220","20880"
"In post","2021","16-19","No function","East of England","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","East of England","AO","15","15","23950","22850"
"In post","2021","16-19","No function","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","London","AA","10","10","19490","18520"
"In post","2021","16-19","No function","London","AO","25","20","23460","22950"
"In post","2021","16-19","No function","London","EO","30","30","24940","24300"
"In post","2021","16-19","No function","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","North East (England)","AO","35","30","20140","20140"
"In post","2021","16-19","No function","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","North West (England)","AA","10","10","18940","18850"
"In post","2021","16-19","No function","North West (England)","AO","55","55","20460","20140"
"In post","2021","16-19","No function","North West (England)","EO","5","5","[c]","[c]"
"In post","2021","16-19","No function","Northern Ireland","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Scotland","AO","30","30","20840","20760"
"In post","2021","16-19","No function","South East (England)","AA","10","5","[c]","[c]"
"In post","2021","16-19","No function","South East (England)","AO","25","25","24100","24370"
"In post","2021","16-19","No function","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","South West (England)","AA","15","15","16790","16990"
"In post","2021","16-19","No function","South West (England)","AO","20","20","19770","19630"
"In post","2021","16-19","No function","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Wales","AA","25","20","18260","18060"
"In post","2021","16-19","No function","Wales","AO","50","50","20580","20140"
"In post","2021","16-19","No function","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","West Midlands (England)","AA","5","5","[c]","[c]"
"In post","2021","16-19","No function","West Midlands (England)","AO","25","25","21220","20950"
"In post","2021","16-19","No function","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Yorkshire and The Humber","AA","10","10","[c]","[c]"
"In post","2021","16-19","No function","Yorkshire and The Humber","AO","35","35","20220","20140"
"In post","2021","16-19","No function","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Yorkshire and The Humber","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Scotland","EO","10","10","17080","16780"
"In post","2021","16-19","Project Delivery","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","South West (England)","EO","75","75","17950","17780"
"In post","2021","16-19","Project Delivery","South West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","South West (England)","Unknown","15","15","16840","16780"
"In post","2021","16-19","Project Delivery","Wales","AA","15","15","15960","15820"
"In post","2021","16-19","Project Delivery","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","West Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","East Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Scotland","AA","5","5","[c]","[c]"
"In post","2021","16-19","Property","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","South East (England)","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Property","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Wales","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","West Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Yorkshire and The Humber","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","East of England","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","South East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","South East (England)","AO","5","5","[c]","[c]"
"In post","2021","16-19","Security","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","South West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Yorkshire and The Humber","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","East Midlands (England)","AO","10","10","21010","21010"
"In post","2021","16-19","Unknown","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","East of England","AO","25","20","21710","21430"
"In post","2021","16-19","Unknown","East of England","EO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","London","AO","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","London","EO","15","15","29070","28670"
"In post","2021","16-19","Unknown","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","North East (England)","AO","35","35","21040","21010"
"In post","2021","16-19","Unknown","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","North West (England)","AO","45","40","21110","21010"
"In post","2021","16-19","Unknown","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Scotland","AA","60","60","20840","21150"
"In post","2021","16-19","Unknown","Scotland","AO","20","20","21530","21010"
"In post","2021","16-19","Unknown","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","South East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","South East (England)","AO","35","35","21700","21430"
"In post","2021","16-19","Unknown","South East (England)","EO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","South West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","South West (England)","AO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Unknown","35","35","18640","15940"
"In post","2021","16-19","Unknown","Wales","AO","20","20","21270","21010"
"In post","2021","16-19","Unknown","Wales","EO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","West Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","West Midlands (England)","AO","10","10","21100","21010"
"In post","2021","16-19","Unknown","West Midlands (England)","EO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Yorkshire and The Humber","AO","30","30","21110","21010"
"In post","2021","16-19","Unknown","Yorkshire and The Humber","EO","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","East of England","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","East of England","AO","10","10","21420","21050"
"In post","2021","20-29","Analysis","East of England","EO","15","15","24920","24920"
"In post","2021","20-29","Analysis","East of England","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","East of England","HEO","15","15","29770","29270"
"In post","2021","20-29","Analysis","East of England","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","London","AO","50","50","24290","24120"
"In post","2021","20-29","Analysis","London","EO","150","150","28470","27930"
"In post","2021","20-29","Analysis","London","G6","20","20","65270","66230"
"In post","2021","20-29","Analysis","London","G7","280","275","54560","54650"
"In post","2021","20-29","Analysis","London","HEO","790","790","34600","33960"
"In post","2021","20-29","Analysis","London","SEO","185","185","42420","42470"
"In post","2021","20-29","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","North East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","North East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","North West (England)","EO","10","10","26560","25560"
"In post","2021","20-29","Analysis","North West (England)","G7","10","10","46650","51220"
"In post","2021","20-29","Analysis","North West (England)","HEO","65","65","32000","31810"
"In post","2021","20-29","Analysis","North West (England)","SEO","40","40","37220","38630"
"In post","2021","20-29","Analysis","Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","South East (England)","EO","25","25","25250","23050"
"In post","2021","20-29","Analysis","South East (England)","G7","15","15","48610","49100"
"In post","2021","20-29","Analysis","South East (England)","HEO","140","140","29280","29540"
"In post","2021","20-29","Analysis","South East (England)","SEO","70","70","36980","37020"
"In post","2021","20-29","Analysis","South West (England)","AO","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","South West (England)","EO","20","20","25890","25100"
"In post","2021","20-29","Analysis","South West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","South West (England)","HEO","45","45","30460","29270"
"In post","2021","20-29","Analysis","South West (England)","SEO","20","20","39680","39030"
"In post","2021","20-29","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Wales","AO","35","35","19200","19130"
"In post","2021","20-29","Analysis","Wales","EO","40","35","23580","23050"
"In post","2021","20-29","Analysis","Wales","G7","25","25","49780","49100"
"In post","2021","20-29","Analysis","Wales","HEO","155","150","29750","29540"
"In post","2021","20-29","Analysis","Wales","SEO","100","100","36820","37020"
"In post","2021","20-29","Analysis","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","West Midlands (England)","HEO","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","West Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Yorkshire and The Humber","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Yorkshire and The Humber","EO","25","25","23240","23050"
"In post","2021","20-29","Analysis","Yorkshire and The Humber","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Yorkshire and The Humber","G7","15","15","49960","49530"
"In post","2021","20-29","Analysis","Yorkshire and The Humber","HEO","30","30","30860","30820"
"In post","2021","20-29","Analysis","Yorkshire and The Humber","SEO","20","20","40870","41990"
"In post","2021","20-29","Commercial","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","East of England","AO","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","East of England","EO","15","15","25160","26350"
"In post","2021","20-29","Commercial","East of England","HEO","15","15","30910","29730"
"In post","2021","20-29","Commercial","East of England","SEO","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","London","AO","10","10","25040","24940"
"In post","2021","20-29","Commercial","London","EO","50","50","28060","27500"
"In post","2021","20-29","Commercial","London","G6","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","London","G7","55","55","54310","54700"
"In post","2021","20-29","Commercial","London","HEO","60","60","33830","33500"
"In post","2021","20-29","Commercial","London","SCS level","15","15","65870","63750"
"In post","2021","20-29","Commercial","London","SEO","65","65","40970","40650"
"In post","2021","20-29","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","North East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","North West (England)","AO","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","North West (England)","EO","30","30","24730","25560"
"In post","2021","20-29","Commercial","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","North West (England)","G7","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","North West (England)","HEO","30","30","30090","30770"
"In post","2021","20-29","Commercial","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","North West (England)","SEO","25","25","35690","35900"
"In post","2021","20-29","Commercial","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Scotland","AA","10","10","20060","20350"
"In post","2021","20-29","Commercial","Scotland","AO","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","Scotland","EO","10","10","27080","26610"
"In post","2021","20-29","Commercial","Scotland","HEO","20","20","32540","32890"
"In post","2021","20-29","Commercial","Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","South East (England)","AO","20","20","21460","20920"
"In post","2021","20-29","Commercial","South East (England)","EO","40","40","25830","26350"
"In post","2021","20-29","Commercial","South East (England)","HEO","25","25","33150","33300"
"In post","2021","20-29","Commercial","South East (England)","SEO","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","South East (England)","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","South West (England)","AO","30","30","20440","20920"
"In post","2021","20-29","Commercial","South West (England)","EO","40","40","25540","26670"
"In post","2021","20-29","Commercial","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","South West (England)","HEO","65","65","32720","33230"
"In post","2021","20-29","Commercial","South West (England)","SEO","35","35","40160","40580"
"In post","2021","20-29","Commercial","South West (England)","Unknown","40","40","28670","26670"
"In post","2021","20-29","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Wales","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Wales","EO","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Wales","HEO","10","10","29550","28540"
"In post","2021","20-29","Commercial","Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","West Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","West Midlands (England)","EO","15","15","25240","25560"
"In post","2021","20-29","Commercial","West Midlands (England)","HEO","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","West Midlands (England)","SEO","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","Yorkshire and The Humber","AO","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Yorkshire and The Humber","EO","10","10","24170","24810"
"In post","2021","20-29","Commercial","Yorkshire and The Humber","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Yorkshire and The Humber","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Yorkshire and The Humber","HEO","25","25","29030","28970"
"In post","2021","20-29","Commercial","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Yorkshire and The Humber","SEO","20","20","36400","36760"
