"Status","Year","Age","Function_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Inner London - West","London","15","15","26930","27680"
"In post","2021","16-19","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Commercial","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - West","London","5","5","[c]","[c]"
"In post","2021","16-19","Communications","Northumberland and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Eastern Scotland","Outside London","15","15","20460","20140"
"In post","2021","16-19","Debt","Merseyside","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Debt","Northumberland and Tyne and Wear","Outside London","15","15","20140","20140"
"In post","2021","16-19","Debt","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","West Midlands","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Debt","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Devon","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
