"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Analysis","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","EO","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Commercial","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","EO","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Communications","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Debt","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","AA/AO","Unknown","35","35","20140","20140"
"In post","2021","16-19","Debt","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
