"Status","Year","Age","Organisation","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Accountant in Bankruptcy","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Accountant in Bankruptcy","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Cabinet Office","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Companies House","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Department for Business, Energy and Industrial Strategy","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Other Cabinet Office Agencies","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Other Cabinet Office Agencies","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Scottish Government","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Attorney General's Departments","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Ministry of Defence","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Ministry of Defence","Heterosexual / straight","70","70","18750","19040"
"In post","2021","16-19","Defence Equipment and Support","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Ministry of Defence","Unknown","40","40","17140","16780"
"In post","2021","16-19","Defence Science and Technology Laboratory","Ministry of Defence","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Department for Education","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
