"Status","Year","Age","Organisation","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Accountant in Bankruptcy","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Outside London","AO","5","5","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Outside London","AO","5","5","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Outside London","AO","10","5","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Outside London","AO","20","20","21600","21950"
"In post","2021","16-19","Crown Prosecution Service","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Outside London","AA","15","15","15880","14850"
"In post","2021","16-19","Defence Electronics and Components Agency","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Outside London","EO","110","110","18130","17780"
"In post","2021","16-19","Defence Equipment and Support","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Outside London","AA","10","10","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Outside London","AO","10","10","18990","17710"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","EO","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Outside London","EO","10","10","25000","25000"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","London","EO","10","10","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Department for International Trade","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Outside London","AO","155","155","21150","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Outside London","EO","35","35","27720","27570"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Disclosure Scotland","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Outside London","AA","25","15","18060","18060"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Outside London","AO","10","10","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Outside London","Unknown","15","15","20920","21600"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","Outside London","AA","5","5","[c]","[c]"
"In post","2021","16-19","Government Actuary's Department","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Health and Safety Executive","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","London","AA","5","5","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","London","AO","5","5","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Outside London","AA","10","10","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Outside London","AO","15","15","19200","18880"
"In post","2021","16-19","HM Land Registry","Outside London","AA","5","5","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Outside London","AO","10","10","22350","22350"
"In post","2021","16-19","HM Prison and Probation Service","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Outside London","AA","35","35","20530","20600"
"In post","2021","16-19","HM Prison and Probation Service","Outside London","AO","50","50","24080","22850"
"In post","2021","16-19","HM Prison and Probation Service","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Outside London","AO","210","195","20140","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Outside London","EO","15","15","25560","25560"
"In post","2021","16-19","HM Treasury (excl. agencies)","London","AO","5","5","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","London","EO","20","20","24550","24300"
