"Status","Year","Age","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Accountant in Bankruptcy","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","EO","EO","5","5","[c]","[c]"
"In post","2021","16-19","Companies House","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","AA/AO","AO","10","5","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","AA/AO","AO","25","25","21700","21950"
"In post","2021","16-19","Crown Prosecution Service","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","AA/AO","AA","15","15","15880","14850"
"In post","2021","16-19","Defence Electronics and Components Agency","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","EO","EO","110","110","18130","17780"
"In post","2021","16-19","Defence Equipment and Support","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","AA/AO","AA","10","10","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","AA/AO","AO","10","10","18990","17710"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","EO","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","EO","EO","10","10","25320","25000"
"In post","2021","16-19","Department for Education (excl. agencies)","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","EO","15","15","23880","25100"
"In post","2021","16-19","Department for International Trade","AA/AO","AO","[c]","[c]","[c]","[c]"
