"Status","Year","Age","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Operational Delivery","25","25","21830","21950"
"In post","2021","16-19","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","15","15","24160","24170"
"In post","2021","16-19","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Economics","10","10","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","20","20","20650","20880"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Policy","5","5","[c]","[c]"
"In post","2021","16-19","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","10","10","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Policy","15","15","24110","25170"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Economics","5","5","[c]","[c]"
"In post","2021","16-19","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Operational Delivery","40","30","19550","18060"
"In post","2021","16-19","Department for Transport","Other","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Unknown","200","195","22680","21010"
"In post","2021","16-19","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Operational Delivery","20","10","21070","19630"
"In post","2021","16-19","Department of Health and Social Care","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Science and Engineering","5","5","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Property","10","10","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Operational Delivery","10","10","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Finance","10","5","20140","20140"
"In post","2021","16-19","HM Revenue and Customs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Operational Delivery","40","35","20450","20140"
"In post","2021","16-19","HM Revenue and Customs","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Property","10","10","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Tax","150","145","20350","20140"
"In post","2021","16-19","HM Revenue and Customs","Unknown","30","30","20850","20140"
"In post","2021","16-19","HM Treasury","Economics","5","5","[c]","[c]"
"In post","2021","16-19","HM Treasury","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","Policy","10","10","24140","24300"
"In post","2021","16-19","HM Treasury","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Operational Delivery","65","60","21550","21430"
"In post","2021","16-19","Home Office","Other","5","5","[c]","[c]"
"In post","2021","16-19","Home Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Finance","20","20","19740","19040"
"In post","2021","16-19","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Other","70","70","18690","17060"
"In post","2021","16-19","Ministry of Defence","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Project Delivery","10","10","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Science and Engineering","115","115","17520","16990"
"In post","2021","16-19","Ministry of Defence","Security","15","15","21860","19560"
"In post","2021","16-19","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Operational Delivery","140","140","21650","20600"
"In post","2021","16-19","Ministry of Justice","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","Operational Delivery","25","20","21280","20810"
"In post","2021","16-19","Scottish Government","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","Unknown","70","70","21170","21150"
"In post","2021","16-19","The National Archives","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Operational Delivery","10","10","19090","19130"
"In post","2021","16-19","United Kingdom Statistics Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Communications","25","25","35310","31560"
"In post","2021","20-29","Attorney General's Departments","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Counter Fraud","50","50","32540","33100"
"In post","2021","20-29","Attorney General's Departments","Digital, Data and Technology","30","30","32060","29550"
"In post","2021","20-29","Attorney General's Departments","Finance","25","25","25730","25920"
"In post","2021","20-29","Attorney General's Departments","Human Resources","45","40","30970","27750"
"In post","2021","20-29","Attorney General's Departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Legal","390","390","40620","43920"
"In post","2021","20-29","Attorney General's Departments","Operational Delivery","620","610","23620","23470"
"In post","2021","20-29","Attorney General's Departments","Other","120","115","27720","27350"
"In post","2021","20-29","Attorney General's Departments","Policy","5","5","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Security","5","5","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Other","15","15","41180","34550"
"In post","2021","20-29","Cabinet Office","Policy","5","5","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Unknown","3370","3365","33940","29250"
"In post","2021","20-29","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","Finance","5","5","[c]","[c]"
