"Status","Year","Age","Parent_department","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","East Midlands (England)","Female","5","5","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Wales","Male","5","5","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
