"Status","Year","Age","Parent_department","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","Bedfordshire and Hertfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Essex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Greater Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Inner London - West","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Merseyside","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","North Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","North Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Surrey, East and West Sussex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","West Midlands","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","West Wales and The Valleys","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Inner London - West","EO","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office","North Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Devon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","East Wales","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Greater Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Inner London - West","EO","10","10","27390","27680"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Kent","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Northumberland and Tyne and Wear","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","West Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Greater Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Greater Manchester","EO","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Inner London - West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","South Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","West Midlands","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","West Midlands","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Cheshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Dorset and Somerset","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","East Anglia","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","East Yorkshire and Northern Lincolnshire","EO","[c]","[c]","[c]","[c]"
