"Status","Year","Age","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","London","5","5","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Outside London","25","25","21770","21950"
"In post","2021","16-19","Cabinet Office","London","10","10","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","London","10","10","27390","27680"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Outside London","25","25","20510","20750"
"In post","2021","16-19","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Outside London","15","15","24720","25000"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","London","10","10","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Outside London","15","15","22970","22430"
"In post","2021","16-19","Department for International Trade","London","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport","London","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport","Outside London","45","35","19920","18060"
"In post","2021","16-19","Department for Work and Pensions","London","10","10","29280","31060"
"In post","2021","16-19","Department for Work and Pensions","Outside London","190","190","22280","21010"
"In post","2021","16-19","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","London","15","10","23630","22920"
"In post","2021","16-19","Department of Health and Social Care","Outside London","15","15","19650","19630"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Outside London","15","15","21490","21600"
"In post","2021","16-19","HM Land Registry","Outside London","15","15","21500","22350"
"In post","2021","16-19","HM Revenue and Customs","London","5","5","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Outside London","240","225","20580","20140"
"In post","2021","16-19","HM Treasury","London","25","25","23990","24300"
"In post","2021","16-19","Home Office","London","10","10","28540","28650"
"In post","2021","16-19","Home Office","Outside London","70","60","21430","21430"
"In post","2021","16-19","Ministry of Defence","London","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Outside London","210","210","18570","17780"
"In post","2021","16-19","Ministry of Defence","Unknown","35","35","18640","15940"
"In post","2021","16-19","Ministry of Justice","London","25","25","23230","22680"
"In post","2021","16-19","Ministry of Justice","Outside London","120","120","21510","20600"
"In post","2021","16-19","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","Outside London","100","100","21190","21150"
"In post","2021","16-19","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Outside London","15","15","20500","19130"
"In post","2021","16-19","Welsh Government","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","London","680","675","33000","29280"
"In post","2021","20-29","Attorney General's Departments","Outside London","635","630","27170","25480"
"In post","2021","20-29","Cabinet Office","London","2515","2515","35450","32000"
"In post","2021","20-29","Cabinet Office","Outside London","515","510","28420","28000"
"In post","2021","20-29","Cabinet Office","Unknown","370","370","31530","29250"
"In post","2021","20-29","Chancellor's other departments","London","80","80","35820","34030"
"In post","2021","20-29","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","London","15","15","31080","29160"
"In post","2021","20-29","Charity Commission","Outside London","35","35","25560","24440"
"In post","2021","20-29","Competition and Markets Authority","London","140","140","37810","33610"
"In post","2021","20-29","Competition and Markets Authority","Outside London","10","10","49210","53530"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","London","1855","1850","40840","39610"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Outside London","1040","1030","27560","24570"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Overseas","15","15","39400","41200"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","London","650","645","41310","35660"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Outside London","25","25","34930","34020"
"In post","2021","20-29","Department for Education","London","655","650","39850","36980"
"In post","2021","20-29","Department for Education","Outside London","960","955","32500","29730"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","London","780","775","36330","33120"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","Outside London","1155","1145","26710","24920"
"In post","2021","20-29","Department for International Trade","London","880","875","37440","33110"
"In post","2021","20-29","Department for International Trade","Outside London","55","55","34700","31800"
"In post","2021","20-29","Department for International Trade","Overseas","20","20","39940","36530"
"In post","2021","20-29","Department for Transport","London","865","865","38870","35060"
"In post","2021","20-29","Department for Transport","Outside London","1360","1315","24790","21590"
"In post","2021","20-29","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Work and Pensions","London","1820","1805","31830","31060"
"In post","2021","20-29","Department for Work and Pensions","Outside London","8595","8425","25570","27570"
"In post","2021","20-29","Department for Work and Pensions","Unknown","125","125","28080","27570"
"In post","2021","20-29","Department of Health and Social Care","London","1710","1675","35850","32790"
"In post","2021","20-29","Department of Health and Social Care","Outside London","975","935","27210","24130"
"In post","2021","20-29","ESTYN","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","London","55","55","35760","32830"
"In post","2021","20-29","Food Standards Agency","Outside London","60","55","30000","30350"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","London","925","925","36250","35700"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Outside London","350","350","28780","26560"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Overseas","205","205","37310","34220"
"In post","2021","20-29","HM Land Registry","London","50","50","31060","30600"
"In post","2021","20-29","HM Land Registry","Outside London","1060","1040","25100","22350"
"In post","2021","20-29","HM Revenue and Customs","London","1195","1190","37260","36160"
"In post","2021","20-29","HM Revenue and Customs","Outside London","9135","8915","25500","25560"
"In post","2021","20-29","HM Treasury","London","1015","1010","38830","33110"
"In post","2021","20-29","HM Treasury","Outside London","30","30","28010","23750"
"In post","2021","20-29","Home Office","London","1935","1920","35740","35050"
"In post","2021","20-29","Home Office","Outside London","3335","3210","24020","24880"
"In post","2021","20-29","Home Office","Overseas","15","15","[c]","[c]"
"In post","2021","20-29","Home Office","Unknown","[c]","[c]","[c]","[c]"
