"Status","Year","Age","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","AA/AO","Female","20","20","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","AA/AO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","AA/AO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","EO","Male","5","5","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","AA/AO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","EO","Female","10","10","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","EO","Male","5","5","[c]","[c]"
"In post","2021","16-19","Department for Education","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","EO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","AA/AO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","EO","Female","10","10","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","EO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Department for International Trade","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","EO","Female","[c]","[c]","[c]","[c]"
