"Status","Year","Age","Profession_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","London","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","London","London","5","5","[c]","[c]"
"In post","2021","16-19","Communications","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","South West (England)","Outside London","10","10","20130","19340"
"In post","2021","16-19","Digital, Data and Technology","Wales","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","London","London","25","25","26140","26330"
"In post","2021","16-19","Economics","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","London","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Scotland","Outside London","10","5","[c]","[c]"
"In post","2021","16-19","Finance","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","South West (England)","Outside London","20","20","19630","19040"
"In post","2021","16-19","Finance","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","London","London","10","10","[c]","[c]"
"In post","2021","16-19","Human Resources","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","London","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East Midlands (England)","Outside London","25","25","20850","20600"
"In post","2021","16-19","Operational Delivery","East of England","Outside London","35","35","22390","21430"
"In post","2021","16-19","Operational Delivery","London","London","40","35","22700","22680"
