"Status","Year","Age","Profession_of_post","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","London","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Communications","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","South West (England)","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Wales","EO","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","London","EO","25","25","26140","26330"
"In post","2021","16-19","Economics","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Scotland","AA/AO","10","5","[c]","[c]"
"In post","2021","16-19","Finance","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","South West (England)","EO","20","20","19570","19040"
"In post","2021","16-19","Finance","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
