"Status","Year","Age","Profession_of_post","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Berkshire, Buckinghamshire and Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Derbyshire and Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East Anglia","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East Anglia","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Greater Manchester","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Greater Manchester","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Inner London - West","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Merseyside","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Outer London - South","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Outer London - South","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","East Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","East Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","East Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Greater Manchester","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Greater Manchester","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Greater Manchester","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - East","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - East","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - East","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - West","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - West","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
