"Status","Year","Age","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","London","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Communications","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Outside London","AA/AO","15","15","20520","20850"
"In post","2021","16-19","Digital, Data and Technology","Outside London","EO","10","10","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","London","EO","25","25","26140","26330"
"In post","2021","16-19","Economics","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Outside London","AA/AO","15","15","20500","20140"
"In post","2021","16-19","Finance","Outside London","EO","20","20","19570","19040"
"In post","2021","16-19","Finance","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","London","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Human Resources","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","London","AA/AO","30","30","21770","22100"
"In post","2021","16-19","Operational Delivery","London","EO","10","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Outside London","AA/AO","365","340","20990","20880"
"In post","2021","16-19","Operational Delivery","Outside London","EO","10","10","23610","23320"
"In post","2021","16-19","Operational Delivery","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Operational Research","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","London","EO","10","10","[c]","[c]"
"In post","2021","16-19","Other","Outside London","AA/AO","15","15","19990","20920"
"In post","2021","16-19","Other","Outside London","EO","25","25","18140","17780"
"In post","2021","16-19","Other","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Unknown","Unknown","35","35","18640","15940"
"In post","2021","16-19","Policy","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","London","EO","20","20","24720","24540"
"In post","2021","16-19","Policy","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","Outside London","EO","15","15","23910","25000"
"In post","2021","16-19","Project Delivery","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Property","Outside London","EO","10","10","[c]","[c]"
"In post","2021","16-19","Property","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Science and Engineering","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","Outside London","AA/AO","35","35","16990","16780"
"In post","2021","16-19","Science and Engineering","Outside London","EO","70","70","18220","17780"
"In post","2021","16-19","Science and Engineering","Outside London","Unknown","15","15","16840","16780"
"In post","2021","16-19","Security","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Outside London","AA/AO","15","15","21220","19560"
"In post","2021","16-19","Security","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Statistics","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Statistics","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Outside London","AA/AO","145","135","20140","20140"
"In post","2021","16-19","Tax","Outside London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","London","AA/AO","10","10","24460","24490"
"In post","2021","16-19","Unknown","London","EO","15","10","29050","31060"
"In post","2021","16-19","Unknown","Outside London","AA/AO","250","250","20970","21010"
"In post","2021","16-19","Unknown","Outside London","EO","40","40","27540","27570"
"In post","2021","16-19","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","London","EO","30","30","28340","28350"
"In post","2021","20-29","Commercial","London","G6/G7","20","20","55180","53360"
"In post","2021","20-29","Commercial","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","London","SEO/HEO","85","85","37380","37160"
"In post","2021","20-29","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Outside London","AA/AO","50","50","20990","20920"
"In post","2021","20-29","Commercial","Outside London","EO","205","205","24060","24070"
"In post","2021","20-29","Commercial","Outside London","G6/G7","10","10","49480","49860"
"In post","2021","20-29","Commercial","Outside London","SEO/HEO","380","380","32870","33000"
"In post","2021","20-29","Commercial","Outside London","Unknown","55","55","28040","26670"
"In post","2021","20-29","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","London","AA/AO","40","40","24330","24270"
"In post","2021","20-29","Communications","London","EO","120","120","28120","27510"
"In post","2021","20-29","Communications","London","G6/G7","55","55","55750","54650"
"In post","2021","20-29","Communications","London","SEO/HEO","380","375","37840","37490"
"In post","2021","20-29","Communications","Outside London","AA/AO","40","40","21180","21000"
"In post","2021","20-29","Communications","Outside London","EO","95","95","26030","26350"
"In post","2021","20-29","Communications","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Outside London","SEO/HEO","100","100","32820","32150"
"In post","2021","20-29","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","20-29","Counter Fraud","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","London","EO","20","20","26890","26180"
"In post","2021","20-29","Counter Fraud","London","SEO/HEO","35","35","35500","33100"
"In post","2021","20-29","Counter Fraud","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Outside London","EO","5","5","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Outside London","SEO/HEO","10","10","31790","30910"
"In post","2021","20-29","Digital, Data and Technology","London","AA/AO","15","15","22740","23530"
"In post","2021","20-29","Digital, Data and Technology","London","EO","95","95","28510","28670"
"In post","2021","20-29","Digital, Data and Technology","London","G6/G7","80","80","56820","54760"
"In post","2021","20-29","Digital, Data and Technology","London","SEO/HEO","345","345","37930","37420"
"In post","2021","20-29","Digital, Data and Technology","Outside London","AA/AO","105","105","21460","21490"
"In post","2021","20-29","Digital, Data and Technology","Outside London","EO","520","515","26280","25930"
"In post","2021","20-29","Digital, Data and Technology","Outside London","G6/G7","65","65","50930","49860"
"In post","2021","20-29","Digital, Data and Technology","Outside London","SEO/HEO","705","700","34500","33290"
"In post","2021","20-29","Digital, Data and Technology","Outside London","Unknown","10","5","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Economics","London","AA/AO","55","55","24170","24120"
"In post","2021","20-29","Economics","London","EO","60","60","27950","27680"
"In post","2021","20-29","Economics","London","G6/G7","230","230","55000","54760"
"In post","2021","20-29","Economics","London","SEO/HEO","675","670","34540","33880"
"In post","2021","20-29","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Economics","Outside London","AA/AO","30","30","19310","19130"
"In post","2021","20-29","Economics","Outside London","EO","15","15","24080","23050"
"In post","2021","20-29","Economics","Outside London","G6/G7","25","25","50190","49360"
"In post","2021","20-29","Economics","Outside London","SEO/HEO","95","95","32240","31810"
"In post","2021","20-29","Economics","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Economics","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","London","AA/AO","15","15","23720","23670"
"In post","2021","20-29","Finance","London","EO","70","70","27680","27270"
"In post","2021","20-29","Finance","London","G6/G7","90","90","56710","54760"
"In post","2021","20-29","Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","London","SEO/HEO","230","225","37370","35750"
"In post","2021","20-29","Finance","Outside London","AA/AO","150","135","20930","20500"
"In post","2021","20-29","Finance","Outside London","EO","280","280","24680","25530"
"In post","2021","20-29","Finance","Outside London","G6/G7","35","35","51670","50130"
"In post","2021","20-29","Finance","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Outside London","SEO/HEO","305","305","34130","33000"
"In post","2021","20-29","Finance","Outside London","Unknown","25","25","30510","30000"
"In post","2021","20-29","Finance","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","London","AA/AO","25","25","23900","23540"
"In post","2021","20-29","Human Resources","London","EO","105","105","27650","27270"
"In post","2021","20-29","Human Resources","London","G6/G7","75","75","56450","55000"
"In post","2021","20-29","Human Resources","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","London","SEO/HEO","240","240","34990","33930"
"In post","2021","20-29","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Outside London","AA/AO","190","185","21360","20920"
"In post","2021","20-29","Human Resources","Outside London","EO","190","185","25240","25480"
"In post","2021","20-29","Human Resources","Outside London","G6/G7","25","25","51860","51970"
"In post","2021","20-29","Human Resources","Outside London","SEO/HEO","215","215","31600","30950"
"In post","2021","20-29","Human Resources","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Human Resources","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","London","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","London","EO","100","100","29160","29250"
"In post","2021","20-29","Intelligence Analysis","London","G6/G7","45","45","55810","53360"
"In post","2021","20-29","Intelligence Analysis","London","SEO/HEO","150","150","37500","37000"
"In post","2021","20-29","Intelligence Analysis","Outside London","AA/AO","5","5","[c]","[c]"
