"Status","Year","Age","Region_ITL1","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","East Midlands (England)","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Female","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Male","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","East of England","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Female","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","East of England","Male","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","16-19","East of England","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Male","Unknown","10","5","[c]","[c]"
"In post","2021","16-19","East of England","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Female","Heterosexual / straight","55","55","25460","25110"
"In post","2021","16-19","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","London","Female","Unknown","20","20","[c]","[c]"
"In post","2021","16-19","London","Male","Heterosexual / straight","45","40","25690","25170"
"In post","2021","16-19","London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Male","Unknown","20","20","[c]","[c]"
"In post","2021","16-19","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","Female","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","16-19","North East (England)","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","Female","Unknown","25","20","[c]","[c]"
"In post","2021","16-19","North East (England)","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","16-19","North East (England)","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","Male","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","North East (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Female","Heterosexual / straight","55","50","21020","21010"
