"Status","Year","Age","Region_ITL3","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Heterosexual / straight","65","65","18660","19040"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Unknown","30","30","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Bedford","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedford","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Belfast","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Belfast","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Belfast","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Birmingham","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Birmingham","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackburn with Darwen","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackburn with Darwen","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackburn with Darwen","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackpool","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Blackpool","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bradford","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bradford","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bradford","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Bradford","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bradford","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Breckland and South Norfolk","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Breckland and South Norfolk","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bridgend and Neath Port Talbot","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bridgend and Neath Port Talbot","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bridgend and Neath Port Talbot","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bridgend and Neath Port Talbot","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brighton and Hove","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brighton and Hove","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brighton and Hove","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bristol, City of","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Bristol, City of","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bristol, City of","AA/AO","Unknown","[c]","[c]","[c]","[c]"
