"Status","Year","Age","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","95","95","18130","17780"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Bedford","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Belfast","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","AO","20","20","20230","20140"
"In post","2021","16-19","Birmingham","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackburn with Darwen","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackpool","AO","15","15","21010","21010"
"In post","2021","16-19","Bradford","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bradford","AO","5","5","[c]","[c]"
"In post","2021","16-19","Bradford","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Breckland and South Norfolk","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bridgend and Neath Port Talbot","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bridgend and Neath Port Talbot","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brighton and Hove","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bristol, City of","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bristol, City of","AO","5","5","[c]","[c]"
"In post","2021","16-19","Bristol, City of","EO","5","5","[c]","[c]"
"In post","2021","16-19","Buckinghamshire CC","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Buckinghamshire CC","AO","5","5","[c]","[c]"
"In post","2021","16-19","Calderdale and Kirklees","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Calderdale and Kirklees","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cambridgeshire CC","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cambridgeshire CC","AO","5","5","[c]","[c]"
"In post","2021","16-19","Camden and City of London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Camden and City of London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","AO","35","30","20200","20140"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Bedfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Hampshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Hampshire","AO","5","5","[c]","[c]"
"In post","2021","16-19","Central Valleys","AO","5","5","[c]","[c]"
"In post","2021","16-19","Cheshire East","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire East","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire West and Chester","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chorley and West Lancashire","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","City of Edinburgh","AA","40","40","20710","21150"
"In post","2021","16-19","City of Edinburgh","AO","40","40","21160","20140"
"In post","2021","16-19","City of Edinburgh","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Clackmannanshire and Fife","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Clackmannanshire and Fife","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Coventry","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Coventry","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Croydon","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Croydon","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Croydon","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derby","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon CC","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon CC","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dudley","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dudley","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dumfries and Galloway","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dumfries and Galloway","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Durham CC","AO","10","10","[c]","[c]"
"In post","2021","16-19","Durham CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ealing","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Ayrshire and North Ayrshire mainland","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Ayrshire and North Ayrshire mainland","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Ayrshire and North Ayrshire mainland","EO","10","10","17080","16780"
"In post","2021","16-19","East Cumbria","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Kent","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Kent","AO","25","25","21840","21430"
"In post","2021","16-19","East Riding of Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Surrey","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Sussex CC","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Sussex CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Enfield","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex Haven Gateway","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex Thames Gateway","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Falkirk","AO","5","5","[c]","[c]"
"In post","2021","16-19","Flintshire and Wrexham","AA","15","15","16260","16780"
"In post","2021","16-19","Flintshire and Wrexham","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Flintshire and Wrexham","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Glasgow City","AA","15","15","20540","20060"
"In post","2021","16-19","Glasgow City","AO","15","15","21050","21010"
"In post","2021","16-19","Glasgow City","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester North West","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester North West","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester South East","AO","5","5","[c]","[c]"
"In post","2021","16-19","Greater Manchester South West","AO","10","10","20120","20140"
"In post","2021","16-19","Greater Manchester South West","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gwent Valleys","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gwynedd","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gwynedd","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hackney and Newham","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Haringey and Islington","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Haringey and Islington","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Harrow and Hillingdon","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heart of Essex","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hertfordshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hertfordshire","AO","5","5","[c]","[c]"
"In post","2021","16-19","Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hounslow and Richmond upon Thames","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hounslow and Richmond upon Thames","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inverclyde, East Renfrewshire and Renfrewshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inverness and Nairn and Moray, Badenoch and Strathspey","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kensington & Chelsea and Hammersmith & Fulham","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kent Thames Gateway","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kent Thames Gateway","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kingston upon Hull, City of","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lambeth","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lambeth","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lambeth","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lancaster and Wyre","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leeds","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leeds","AO","45","40","20430","20140"
"In post","2021","16-19","Leeds","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicester","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicester","AO","10","10","[c]","[c]"
