"Status","Year","Age","Region_ITL3","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","Female","Unknown","[c]","[c]","[c]","[c]"
