"Status","Year","Disability","Ethnicity","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Attorney General's Departments","London","50","45","49020","50500"
"In post","2021","Declared disabled","Asian","Attorney General's Departments","Outside London","30","30","34220","28430"
"In post","2021","Declared disabled","Asian","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cabinet Office","London","50","45","42880","37430"
"In post","2021","Declared disabled","Asian","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cabinet Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Competition and Markets Authority","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","London","45","45","42300","34610"
"In post","2021","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Education","London","25","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Education","Outside London","30","30","35410","32910"
"In post","2021","Declared disabled","Asian","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","Outside London","20","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for International Trade","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Transport","London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Transport","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Work and Pensions","London","335","305","31260","31060"
"In post","2021","Declared disabled","Asian","Department for Work and Pensions","Outside London","630","560","25880","27570"
"In post","2021","Declared disabled","Asian","Department for Work and Pensions","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department of Health and Social Care","London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department of Health and Social Care","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","ESTYN","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Foreign, Commonwealth and Development Office","London","35","35","38470","35700"
"In post","2021","Declared disabled","Asian","Foreign, Commonwealth and Development Office","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","HM Land Registry","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","HM Revenue and Customs","London","125","115","36370","36160"
"In post","2021","Declared disabled","Asian","HM Revenue and Customs","Outside London","200","185","28600","25560"
"In post","2021","Declared disabled","Asian","HM Treasury","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Home Office","London","270","240","34420","29370"
"In post","2021","Declared disabled","Asian","Home Office","Outside London","95","85","25260","25040"
"In post","2021","Declared disabled","Asian","Home Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Ministry of Defence","London","30","30","35340","32000"
"In post","2021","Declared disabled","Asian","Ministry of Defence","Outside London","60","60","37230","33320"
"In post","2021","Declared disabled","Asian","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Ministry of Housing, Communities and Local Government","London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Ministry of Housing, Communities and Local Government","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Ministry of Justice","London","160","150","33310","29250"
"In post","2021","Declared disabled","Asian","Ministry of Justice","Outside London","270","245","26350","22640"
"In post","2021","Declared disabled","Asian","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","National Crime Agency","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Office for Standards in Education","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Office for Standards in Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Office of Gas and Electricity Markets","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Other Cabinet Office Agencies","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Other Cabinet Office Agencies","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Scotland Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Scotland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Scottish Government","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Scottish Government","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Scottish Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","The National Archives","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","United Kingdom Statistics Authority","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Wales Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Wales Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Welsh Government","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Welsh Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Attorney General's Departments","London","50","45","38990","30110"
"In post","2021","Declared disabled","Black","Attorney General's Departments","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Cabinet Office","London","30","30","41010","36110"
"In post","2021","Declared disabled","Black","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Cabinet Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Department for Business, Energy and Industrial Strategy","London","45","45","41570","38170"
"In post","2021","Declared disabled","Black","Department for Business, Energy and Industrial Strategy","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Department for Digital, Culture, Media and Sport","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Department for Education","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","Department for Education","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Department for Environment, Food and Rural Affairs","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","Department for Environment, Food and Rural Affairs","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Department for International Trade","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Department for International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Department for Transport","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Department for Transport","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Department for Work and Pensions","London","360","335","30810","31060"
"In post","2021","Declared disabled","Black","Department for Work and Pensions","Outside London","215","195","26970","27570"
"In post","2021","Declared disabled","Black","Department for Work and Pensions","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Department of Health and Social Care","London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Black","Department of Health and Social Care","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","ESTYN","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Foreign, Commonwealth and Development Office","London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Black","Foreign, Commonwealth and Development Office","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","HM Land Registry","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","HM Revenue and Customs","London","90","85","34780","32520"
"In post","2021","Declared disabled","Black","HM Revenue and Customs","Outside London","60","55","28620","28130"
"In post","2021","Declared disabled","Black","HM Treasury","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Home Office","London","165","155","33110","29310"
"In post","2021","Declared disabled","Black","Home Office","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Black","Home Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Ministry of Defence","London","30","30","33670","31240"
"In post","2021","Declared disabled","Black","Ministry of Defence","Outside London","45","45","31210","28650"
"In post","2021","Declared disabled","Black","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Ministry of Housing, Communities and Local Government","London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Black","Ministry of Housing, Communities and Local Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Ministry of Justice","London","280","270","32130","28990"
"In post","2021","Declared disabled","Black","Ministry of Justice","Outside London","170","160","28770","26310"
"In post","2021","Declared disabled","Black","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","National Crime Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Office for Standards in Education","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Office for Standards in Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Office of Gas and Electricity Markets","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Other Cabinet Office Agencies","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Other Cabinet Office Agencies","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Scotland Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Scotland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Scottish Government","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Scottish Government","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Scottish Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","United Kingdom Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Wales Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Wales Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Welsh Government","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Welsh Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Cabinet Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Department for Education","Unknown","[c]","[c]","[c]","[c]"
