"Status","Year","Disability","Ethnicity","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","80","70","29900","27570"
"In post","2021","Declared disabled","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","120","105","23850","21440"
"In post","2021","Declared disabled","Asian","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East of England","Bedfordshire and Hertfordshire","70","65","30460","27570"
"In post","2021","Declared disabled","Asian","East of England","East Anglia","35","30","27000","26930"
"In post","2021","Declared disabled","Asian","East of England","Essex","25","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","London","Inner London - East","230","215","34330","31060"
"In post","2021","Declared disabled","Asian","London","Inner London - West","535","510","40410","35980"
"In post","2021","Declared disabled","Asian","London","Outer London - East and North East","85","80","29580","31060"
"In post","2021","Declared disabled","Asian","London","Outer London - South","165","145","33640","29620"
"In post","2021","Declared disabled","Asian","London","Outer London - West and North West","260","230","31090","30410"
"In post","2021","Declared disabled","Asian","North East (England)","Northumberland and Tyne and Wear","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","North East (England)","Tees Valley and Durham","15","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","North West (England)","Cheshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North West (England)","Greater Manchester","135","120","27930","25560"
"In post","2021","Declared disabled","Asian","North West (England)","Lancashire","100","90","24980","21440"
"In post","2021","Declared disabled","Asian","North West (England)","Merseyside","15","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","Overseas","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Scotland","Eastern Scotland","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Scotland","West Central Scotland","15","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","65","60","29910","27570"
"In post","2021","Declared disabled","Asian","South East (England)","Hampshire and Isle of Wight","25","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","South East (England)","Kent","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","South East (England)","Surrey, East and West Sussex","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","60","55","31360","27570"
"In post","2021","Declared disabled","Asian","Unknown","Unknown","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Wales","East Wales","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Wales","West Wales and The Valleys","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Midlands (England)","Shropshire and Staffordshire","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Midlands (England)","West Midlands","365","335","26850","27230"
"In post","2021","Declared disabled","Asian","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Yorkshire and The Humber","North Yorkshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Yorkshire and The Humber","South Yorkshire","30","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Yorkshire and The Humber","West Yorkshire","150","140","27930","27570"
"In post","2021","Declared disabled","Black","East Midlands (England)","Derbyshire and Nottinghamshire","40","40","27040","27570"
