"Status","Year","Disability","Ethnicity","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","East Midlands (England)","Heterosexual / straight","165","150","26320","24260"
"In post","2021","Declared disabled","Asian","East Midlands (England)","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Midlands (England)","Undeclared","15","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Midlands (England)","Unknown","20","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","East of England","Heterosexual / straight","105","95","30180","27570"
"In post","2021","Declared disabled","Asian","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East of England","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","East of England","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","London","Heterosexual / straight","1070","995","36150","31880"
"In post","2021","Declared disabled","Asian","London","LGBO","45","45","38650","33570"
"In post","2021","Declared disabled","Asian","London","Undeclared","85","80","32360","30810"
"In post","2021","Declared disabled","Asian","London","Unknown","80","70","33140","31060"
"In post","2021","Declared disabled","Asian","North East (England)","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North West (England)","Heterosexual / straight","210","190","27610","26060"
"In post","2021","Declared disabled","Asian","North West (England)","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","North West (England)","Undeclared","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","North West (England)","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Scotland","Heterosexual / straight","30","30","29650","24900"
"In post","2021","Declared disabled","Asian","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Scotland","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","South East (England)","Heterosexual / straight","100","90","30160","28440"
"In post","2021","Declared disabled","Asian","South East (England)","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","South East (England)","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","South West (England)","Heterosexual / straight","50","45","32470","27570"
"In post","2021","Declared disabled","Asian","South West (England)","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","South West (England)","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Wales","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Midlands (England)","Heterosexual / straight","335","310","27730","27570"
"In post","2021","Declared disabled","Asian","West Midlands (England)","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Midlands (England)","Undeclared","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Midlands (England)","Unknown","30","25","23850","21230"
"In post","2021","Declared disabled","Asian","Yorkshire and The Humber","Heterosexual / straight","155","145","28130","27570"
"In post","2021","Declared disabled","Asian","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Yorkshire and The Humber","Undeclared","5","5","[c]","[c]"
