"Status","Year","Disability","Ethnicity","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","AA","Heterosexual / straight","50","45","20570","20280"
"In post","2021","Declared disabled","Asian","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","AA","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","AO","Heterosexual / straight","560","495","22530","21070"
"In post","2021","Declared disabled","Asian","AO","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","AO","Undeclared","70","60","22380","21430"
"In post","2021","Declared disabled","Asian","AO","Unknown","80","65","22310","21440"
"In post","2021","Declared disabled","Asian","EO","Heterosexual / straight","840","770","28630","28150"
"In post","2021","Declared disabled","Asian","EO","LGBO","35","35","28420","27570"
"In post","2021","Declared disabled","Asian","EO","Undeclared","65","60","28640","28170"
"In post","2021","Declared disabled","Asian","EO","Unknown","65","60","28800","27570"
"In post","2021","Declared disabled","Asian","G6","Heterosexual / straight","45","45","67620","66770"
"In post","2021","Declared disabled","Asian","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","G7","Heterosexual / straight","160","155","56010","54500"
"In post","2021","Declared disabled","Asian","G7","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","HEO","Heterosexual / straight","340","320","34190","34020"
"In post","2021","Declared disabled","Asian","HEO","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","HEO","Undeclared","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","HEO","Unknown","30","30","[c]","[c]"
"In post","2021","Declared disabled","Asian","SCS level","Heterosexual / straight","15","15","[c]","[c]"
