"Status","Year","Disability","Organisation","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Scotland","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","East of England","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","London","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","North East (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","North West (England)","Outside London","20","15","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Scotland","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","South West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Wales","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","East Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","East of England","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","London","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","North East (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","North West (England)","Outside London","40","35","27090","24920"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Scotland","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","South East (England)","Outside London","90","90","31650","28550"
"In post","2021","Declared disabled","Animal and Plant Health Agency","South West (England)","Outside London","55","50","26270","21050"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Wales","Outside London","40","35","25560","22430"
"In post","2021","Declared disabled","Animal and Plant Health Agency","West Midlands (England)","Outside London","35","30","28190","25190"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Yorkshire and The Humber","Outside London","30","30","25940","25100"
"In post","2021","Declared disabled","Attorney General's Office","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","East of England","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","London","London","495","480","48060","43890"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","North East (England)","Outside London","60","55","28220","23850"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","North West (England)","Outside London","30","30","42480","38890"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","South East (England)","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","South West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Outside London","60","55","34630","33300"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","East of England","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","North West (England)","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Wales","Outside London","65","60","32210","25100"
"In post","2021","Declared disabled","Competition and Markets Authority","London","London","35","35","55940","54320"
"In post","2021","Declared disabled","Competition and Markets Authority","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Scotland","Outside London","35","30","23110","22570"
"In post","2021","Declared disabled","Crown Commercial Service","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","East of England","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","North West (England)","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Wales","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Scotland","Outside London","105","95","37590","33550"
"In post","2021","Declared disabled","Crown Prosecution Service","East Midlands (England)","Outside London","55","55","35350","28430"
"In post","2021","Declared disabled","Crown Prosecution Service","East of England","Outside London","45","40","42030","35630"
"In post","2021","Declared disabled","Crown Prosecution Service","London","London","175","160","46850","40800"
"In post","2021","Declared disabled","Crown Prosecution Service","North East (England)","Outside London","45","40","35170","28430"
"In post","2021","Declared disabled","Crown Prosecution Service","North West (England)","Outside London","110","100","39930","32680"
"In post","2021","Declared disabled","Crown Prosecution Service","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","South East (England)","Outside London","60","55","45590","44320"
"In post","2021","Declared disabled","Crown Prosecution Service","South West (England)","Outside London","35","30","40150","34480"
"In post","2021","Declared disabled","Crown Prosecution Service","Wales","Outside London","35","35","40740","42090"
"In post","2021","Declared disabled","Crown Prosecution Service","West Midlands (England)","Outside London","55","50","41270","42090"
