"Status","Year","Disability","Parent_department","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","East Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Midlands (England)","AO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Midlands (England)","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Midlands (England)","G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Midlands (England)","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East of England","AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East of England","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East of England","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East of England","G7","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East of England","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East of England","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","London","AO","40","35","23650","23520"
"In post","2021","Declared disabled","Attorney General's Departments","London","EO","75","70","29110","29280"
"In post","2021","Declared disabled","Attorney General's Departments","London","G6","65","60","69470","67600"
"In post","2021","Declared disabled","Attorney General's Departments","London","G7","130","120","58320","56980"
"In post","2021","Declared disabled","Attorney General's Departments","London","HEO","35","35","35960","35020"
"In post","2021","Declared disabled","Attorney General's Departments","London","SCS level","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","London","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North East (England)","AO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North East (England)","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North East (England)","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North East (England)","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North West (England)","AO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North West (England)","EO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North West (England)","G7","45","45","54800","55610"
"In post","2021","Declared disabled","Attorney General's Departments","North West (England)","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South East (England)","AO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South East (England)","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South East (England)","G7","25","25","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South East (England)","HEO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South West (England)","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South West (England)","EO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South West (England)","G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Wales","AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Wales","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Wales","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Wales","G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","West Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","West Midlands (England)","AO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","West Midlands (England)","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","West Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","West Midlands (England)","G7","25","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","West Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","West Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","West Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","AO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","EO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","G7","45","40","56640","55610"
"In post","2021","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","East of England","G6","[c]","[c]","[c]","[c]"
