"Status","Year","Disability","Parent_department","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","AA/AO","Heterosexual / straight","135","120","22520","21950"
"In post","2021","Declared disabled","Attorney General's Departments","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","EO","Heterosexual / straight","130","120","28300","28430"
"In post","2021","Declared disabled","Attorney General's Departments","EO","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","EO","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","EO","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","G6/G7","Heterosexual / straight","315","295","59580","57400"
"In post","2021","Declared disabled","Attorney General's Departments","G6/G7","LGBO","30","30","60020","55690"
"In post","2021","Declared disabled","Attorney General's Departments","G6/G7","Undeclared","30","30","59320","55610"
"In post","2021","Declared disabled","Attorney General's Departments","G6/G7","Unknown","50","45","59040","56560"
"In post","2021","Declared disabled","Attorney General's Departments","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SCS level","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SEO/HEO","Heterosexual / straight","100","100","36350","35160"
"In post","2021","Declared disabled","Attorney General's Departments","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SEO/HEO","Unknown","15","10","[c]","[c]"
