"Status","Year","Disability","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Berkshire, Buckinghamshire and Oxfordshire","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Derbyshire and Nottinghamshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Devon","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Dorset and Somerset","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Anglia","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Wales","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Eastern Scotland","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","150","145","40040","37600"
"In post","2021","Declared disabled","Commercial","Greater Manchester","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Hampshire and Isle of Wight","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Inner London - East","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Inner London - West","45","45","43020","40650"
"In post","2021","Declared disabled","Commercial","Kent","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Merseyside","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North Yorkshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - South","20","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - West and North West","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Shropshire and Staffordshire","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South Yorkshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Southern Scotland","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Surrey, East and West Sussex","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Tees Valley and Durham","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Central Scotland","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Wales and The Valleys","15","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Yorkshire","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Berkshire, Buckinghamshire and Oxfordshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Derbyshire and Nottinghamshire","15","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Dorset and Somerset","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Wales","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Essex","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Greater Manchester","15","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","Hampshire and Isle of Wight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Inner London - East","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Inner London - West","85","85","43800","40640"
"In post","2021","Declared disabled","Communications","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
