"Status","Year","Disability","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AO","30","30","22800","21980"
"In post","2021","Declared disabled","Commercial","EO","60","55","26590","26670"
"In post","2021","Declared disabled","Commercial","G6","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G7","55","55","55290","54540"
"In post","2021","Declared disabled","Commercial","HEO","120","115","32250","33000"
"In post","2021","Declared disabled","Commercial","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SEO","180","175","42180","41760"
"In post","2021","Declared disabled","Commercial","Unknown","25","25","[c]","[c]"
"In post","2021","Declared disabled","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","AO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","EO","55","55","27510","26780"
"In post","2021","Declared disabled","Communications","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","G7","30","30","[c]","[c]"
"In post","2021","Declared disabled","Communications","HEO","75","75","33640","33510"
"In post","2021","Declared disabled","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","SEO","60","55","41910","42090"
"In post","2021","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","EO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","HEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","SEO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","AO","35","35","22040","21590"
"In post","2021","Declared disabled","Digital, Data and Technology","EO","245","235","27300","26670"
"In post","2021","Declared disabled","Digital, Data and Technology","G6","45","40","67340","65740"
"In post","2021","Declared disabled","Digital, Data and Technology","G7","170","165","56310","54560"
"In post","2021","Declared disabled","Digital, Data and Technology","HEO","270","260","33310","33260"
"In post","2021","Declared disabled","Digital, Data and Technology","SCS level","15","15","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","SEO","245","240","41570","40580"
"In post","2021","Declared disabled","Digital, Data and Technology","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Economics","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Economics","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Economics","G7","35","35","55510","55060"
"In post","2021","Declared disabled","Economics","HEO","35","35","34350","33900"
"In post","2021","Declared disabled","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","AA","10","5","[c]","[c]"
"In post","2021","Declared disabled","Finance","AO","115","95","21470","21440"
"In post","2021","Declared disabled","Finance","EO","145","135","26490","26670"
"In post","2021","Declared disabled","Finance","G6","30","30","66710","67710"
"In post","2021","Declared disabled","Finance","G7","115","115","55260","53600"
"In post","2021","Declared disabled","Finance","HEO","165","155","33470","33300"
"In post","2021","Declared disabled","Finance","SCS level","20","20","[c]","[c]"
"In post","2021","Declared disabled","Finance","SEO","150","145","41590","40880"
"In post","2021","Declared disabled","Finance","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","AO","125","115","21930","21510"
"In post","2021","Declared disabled","Human Resources","EO","160","150","27380","26780"
"In post","2021","Declared disabled","Human Resources","G6","60","60","67280","66140"
"In post","2021","Declared disabled","Human Resources","G7","155","150","54870","54190"
"In post","2021","Declared disabled","Human Resources","HEO","240","230","33180","33130"
"In post","2021","Declared disabled","Human Resources","SCS level","35","35","87180","80520"
"In post","2021","Declared disabled","Human Resources","SEO","195","185","42370","41100"
"In post","2021","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","G7","25","25","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","SEO","30","30","51200","51360"
"In post","2021","Declared disabled","Intelligence Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","EO","160","150","28340","27380"
"In post","2021","Declared disabled","Intelligence Analysis","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","HEO","80","75","34240","33630"
"In post","2021","Declared disabled","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","SEO","35","35","42900","43870"
"In post","2021","Declared disabled","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","HEO","30","30","34580","33930"
"In post","2021","Declared disabled","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","SEO","35","35","43990","43830"
"In post","2021","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","International Trade","G6","15","15","[c]","[c]"
"In post","2021","Declared disabled","International Trade","G7","30","30","[c]","[c]"
"In post","2021","Declared disabled","International Trade","HEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","International Trade","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","International Trade","SEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","AO","50","50","22200","21590"
"In post","2021","Declared disabled","Knowledge and Information Management","EO","60","60","26980","26670"
"In post","2021","Declared disabled","Knowledge and Information Management","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","HEO","75","70","33990","33300"
"In post","2021","Declared disabled","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","SEO","40","40","41720","41850"
"In post","2021","Declared disabled","Knowledge and Information Management","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Legal","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","AO","35","30","21670","20140"
"In post","2021","Declared disabled","Legal","EO","125","120","27560","27130"
"In post","2021","Declared disabled","Legal","G6","80","75","70820","69390"
"In post","2021","Declared disabled","Legal","G7","400","370","57270","55610"
"In post","2021","Declared disabled","Legal","HEO","130","125","34810","34480"
"In post","2021","Declared disabled","Legal","SCS level","30","30","[c]","[c]"
"In post","2021","Declared disabled","Legal","SEO","160","150","42540","41530"
"In post","2021","Declared disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Medicine","EO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Medicine","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Medicine","G7","25","20","[c]","[c]"
"In post","2021","Declared disabled","Medicine","HEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Medicine","SCS level","15","10","[c]","[c]"
"In post","2021","Declared disabled","Medicine","SEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","AA","1365","1185","19740","20070"
"In post","2021","Declared disabled","Operational Delivery","AO","6530","5770","22960","21440"
"In post","2021","Declared disabled","Operational Delivery","EO","4015","3675","27630","27130"
"In post","2021","Declared disabled","Operational Delivery","G6","105","100","69990","66500"
"In post","2021","Declared disabled","Operational Delivery","G7","350","335","55080","53590"
"In post","2021","Declared disabled","Operational Delivery","HEO","1805","1690","33550","32740"
"In post","2021","Declared disabled","Operational Delivery","SCS level","45","45","94270","89660"
"In post","2021","Declared disabled","Operational Delivery","SEO","890","860","43430","41760"
"In post","2021","Declared disabled","Operational Delivery","Unknown","2240","2080","30500","30210"
"In post","2021","Declared disabled","Operational Research","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","AO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","G7","45","40","51150","47770"
"In post","2021","Declared disabled","Operational Research","HEO","30","30","31080","30700"
"In post","2021","Declared disabled","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","SEO","40","40","39970","37610"
"In post","2021","Declared disabled","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","AA","215","200","19330","19550"
"In post","2021","Declared disabled","Other","AO","600","565","21890","21160"
"In post","2021","Declared disabled","Other","EO","505","475","26210","26670"
"In post","2021","Declared disabled","Other","G6","30","30","70450","67380"
"In post","2021","Declared disabled","Other","G7","65","60","55060","55880"
"In post","2021","Declared disabled","Other","HEO","310","295","32810","33300"
"In post","2021","Declared disabled","Other","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other","SEO","145","140","40520","40580"
"In post","2021","Declared disabled","Other","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Planning","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","G6","10","5","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Policy","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Policy","AO","90","85","24030","23830"
"In post","2021","Declared disabled","Policy","EO","295","285","28460","28400"
"In post","2021","Declared disabled","Policy","G6","255","245","66110","65550"
"In post","2021","Declared disabled","Policy","G7","620","605","54990","53970"
"In post","2021","Declared disabled","Policy","HEO","650","635","33820","33570"
"In post","2021","Declared disabled","Policy","SCS level","105","100","86430","77580"
