"Status","Year","Disability","Region_ITL1","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","East Midlands (England)","Outside London","AA/AO","960","855","21580","21010"
"In post","2021","Declared disabled","East Midlands (England)","Outside London","EO","895","810","27000","27570"
"In post","2021","Declared disabled","East Midlands (England)","Outside London","G6/G7","120","115","57670","52600"
"In post","2021","Declared disabled","East Midlands (England)","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Outside London","SEO/HEO","495","470","35620","33840"
"In post","2021","Declared disabled","East Midlands (England)","Outside London","Unknown","200","185","30370","29200"
"In post","2021","Declared disabled","East of England","Outside London","AA/AO","825","740","23120","21440"
"In post","2021","Declared disabled","East of England","Outside London","EO","945","865","28470","27570"
"In post","2021","Declared disabled","East of England","Outside London","G6/G7","110","105","59780","58890"
"In post","2021","Declared disabled","East of England","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Outside London","SEO/HEO","515","490","37030","35120"
"In post","2021","Declared disabled","East of England","Outside London","Unknown","175","160","28690","28200"
"In post","2021","Declared disabled","London","London","AA/AO","1375","1255","25110","24900"
"In post","2021","Declared disabled","London","London","EO","2435","2275","30180","30600"
"In post","2021","Declared disabled","London","London","G6/G7","2015","1940","60360","59160"
"In post","2021","Declared disabled","London","London","SCS level","280","275","89570","80520"
"In post","2021","Declared disabled","London","London","SEO/HEO","2800","2715","38630","37780"
"In post","2021","Declared disabled","London","London","Unknown","300","290","34130","34100"
"In post","2021","Declared disabled","North East (England)","Outside London","AA/AO","1555","1315","21210","21010"
"In post","2021","Declared disabled","North East (England)","Outside London","EO","1000","875","27100","27570"
"In post","2021","Declared disabled","North East (England)","Outside London","G6/G7","135","130","54630","52580"
"In post","2021","Declared disabled","North East (England)","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Outside London","SEO/HEO","575","535","34360","32540"
"In post","2021","Declared disabled","North East (England)","Outside London","Unknown","145","135","29950","28200"
"In post","2021","Declared disabled","North West (England)","Outside London","AA/AO","2625","2275","21220","21010"
"In post","2021","Declared disabled","North West (England)","Outside London","EO","2355","2110","26990","27570"
"In post","2021","Declared disabled","North West (England)","Outside London","G6/G7","395","380","55350","52580"
"In post","2021","Declared disabled","North West (England)","Outside London","SCS level","20","20","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Outside London","SEO/HEO","1280","1205","35120","33840"
"In post","2021","Declared disabled","North West (England)","Outside London","Unknown","335","310","30560","30210"
"In post","2021","Declared disabled","Northern Ireland","Outside London","AA/AO","145","130","21130","20810"
"In post","2021","Declared disabled","Northern Ireland","Outside London","EO","85","80","26500","25900"
"In post","2021","Declared disabled","Northern Ireland","Outside London","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Outside London","SEO/HEO","80","75","34230","31870"
"In post","2021","Declared disabled","Northern Ireland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Overseas","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Overseas","G6/G7","95","95","60260","58330"
"In post","2021","Declared disabled","Overseas","Overseas","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Overseas","SEO/HEO","90","90","36420","34770"
