"Status","Year","Disability","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Heterosexual / straight","90","85","32860","27570"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Heterosexual / straight","195","175","24650","21150"
"In post","2021","Declared disabled","Angus and Dundee City","LGBO","30","25","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Undeclared","25","20","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Unknown","15","10","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Heterosexual / straight","85","75","30460","31060"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Heterosexual / straight","90","90","35360","31060"
"In post","2021","Declared disabled","Barnet","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Heterosexual / straight","320","280","27130","27470"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","LGBO","30","25","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Undeclared","30","25","25540","26540"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Unknown","35","30","25360","25860"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","1020","975","36570","33440"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","85","80","31560","29000"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","195","185","39100","37440"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","45","45","34350","32490"
"In post","2021","Declared disabled","Bedford","Heterosexual / straight","80","75","30480","28500"
"In post","2021","Declared disabled","Bedford","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Heterosexual / straight","180","165","28520","26520"
"In post","2021","Declared disabled","Belfast","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Undeclared","25","20","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Unknown","25","20","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Heterosexual / straight","240","230","33430","31810"
"In post","2021","Declared disabled","Berkshire","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Undeclared","40","40","33520","29290"
"In post","2021","Declared disabled","Berkshire","Unknown","25","20","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","Heterosexual / straight","130","125","30090","30780"
"In post","2021","Declared disabled","Bexley and Greenwich","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","Undeclared","20","20","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Heterosexual / straight","940","860","29730","27570"
"In post","2021","Declared disabled","Birmingham","LGBO","95","90","28450","27570"
"In post","2021","Declared disabled","Birmingham","Undeclared","120","110","28200","27320"
"In post","2021","Declared disabled","Birmingham","Unknown","120","100","28210","26410"
"In post","2021","Declared disabled","Blackburn with Darwen","Heterosexual / straight","55","50","27370","27570"
"In post","2021","Declared disabled","Blackburn with Darwen","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","Unknown","10","5","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","Heterosexual / straight","550","485","27600","27570"
"In post","2021","Declared disabled","Blackpool","LGBO","50","50","26500","27570"
"In post","2021","Declared disabled","Blackpool","Undeclared","80","70","28760","27570"
"In post","2021","Declared disabled","Blackpool","Unknown","85","75","26100","27570"
"In post","2021","Declared disabled","Bournemouth and Poole","Heterosexual / straight","85","75","25980","27370"
"In post","2021","Declared disabled","Bournemouth and Poole","LGBO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bradford","Heterosexual / straight","250","210","26500","25560"
