"Status","Year","Ethnicity","Function_of_post","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Corporate Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","EO","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Economics","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Economics","AO","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Economics","EO","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Economics","G6","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Economics","G7","30","30","56660","55000"
"In post","2021","Asian","Analysis","Economics","HEO","40","40","33940","33710"
"In post","2021","Asian","Analysis","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Economics","SEO","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Intelligence Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Intelligence Analysis","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Intelligence Analysis","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Intelligence Analysis","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Intelligence Analysis","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","EO","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","HEO","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","G7","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","HEO","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","SEO","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Other","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Other","EO","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Other","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Other","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Other","HEO","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","G7","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","HEO","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","SEO","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Psychology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Psychology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Science and Engineering","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Science and Engineering","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Science and Engineering","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Science and Engineering","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Science and Engineering","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Science and Engineering","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Social Research","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Social Research","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Social Research","G7","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Social Research","HEO","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Social Research","SEO","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Statistics","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Statistics","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Statistics","EO","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Statistics","G7","30","30","55100","56150"
"In post","2021","Asian","Analysis","Statistics","HEO","40","40","35220","33910"
"In post","2021","Asian","Analysis","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Statistics","SEO","35","30","40660","40480"
"In post","2021","Asian","Analysis","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Tax","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Tax","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Tax","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","G7","[c]","[c]","[c]","[c]"
