"Status","Year","Ethnicity","Organisation","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Accountant in Bankruptcy","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","London","Female","10","10","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","London","Male","5","5","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Outside London","Female","15","15","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","London","Male","5","5","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Outside London","Female","35","30","27900","27960"
"In post","2021","Asian","Animal and Plant Health Agency","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","London","Female","250","240","45780","40600"
"In post","2021","Asian","Cabinet Office (excl. agencies)","London","Male","170","165","49680","43890"
"In post","2021","Asian","Cabinet Office (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Outside London","Female","20","20","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Unknown","Female","10","10","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Unknown","Male","5","5","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Asian","Companies House","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Asian","Companies House","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","London","Female","60","55","42590","35270"
"In post","2021","Asian","Competition and Markets Authority","London","Male","45","45","50080","44660"
"In post","2021","Asian","Competition and Markets Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","London","Female","5","5","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","London","Male","5","5","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Outside London","Female","25","20","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","London","Female","210","190","39620","30130"
"In post","2021","Asian","Crown Prosecution Service","London","Male","85","80","41170","32080"
"In post","2021","Asian","Crown Prosecution Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Outside London","Female","215","190","38210","34480"
"In post","2021","Asian","Crown Prosecution Service","Outside London","Male","95","90","39830","42090"
"In post","2021","Asian","Crown Prosecution Service","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","London","Female","10","10","[c]","[c]"
"In post","2021","Asian","Debt Management Office","London","Male","10","10","[c]","[c]"
"In post","2021","Asian","Debt Management Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","London","Female","10","10","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","London","Male","40","35","21400","20000"
"In post","2021","Asian","Defence Equipment and Support","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Outside London","Female","100","95","32830","29670"
"In post","2021","Asian","Defence Equipment and Support","Outside London","Male","180","175","37380","36090"
"In post","2021","Asian","Defence Equipment and Support","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Outside London","Female","15","15","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Outside London","Male","45","45","41980","38500"
"In post","2021","Asian","Defence Science and Technology Laboratory","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Female","240","235","45360","40050"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Male","175","175","43690","40050"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Female","20","20","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","London","Female","65","65","46260","51730"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","London","Male","50","50","48210","42060"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Outside London","Female","[c]","[c]","[c]","[c]"
