"Status","Year","Ethnicity","Parent_department","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","AA/AO","15","15","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","EO","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","G6/G7","20","20","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East of England","AA/AO","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East of England","G6/G7","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East of England","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","London","AA/AO","95","85","23500","23520"
"In post","2021","Asian","Attorney General's Departments","London","EO","115","105","28440","27750"
"In post","2021","Asian","Attorney General's Departments","London","G6/G7","280","260","58390","55970"
"In post","2021","Asian","Attorney General's Departments","London","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","London","SEO/HEO","90","90","36900","36240"
"In post","2021","Asian","Attorney General's Departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North West (England)","AA/AO","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North West (England)","G6/G7","20","20","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North West (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South East (England)","AA/AO","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South East (England)","G6/G7","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South East (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","West Midlands (England)","AA/AO","25","25","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","West Midlands (England)","EO","25","25","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","West Midlands (England)","G6/G7","35","30","52780","51470"
"In post","2021","Asian","Attorney General's Departments","West Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","West Midlands (England)","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Yorkshire and The Humber","AA/AO","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Yorkshire and The Humber","EO","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Yorkshire and The Humber","G6/G7","25","25","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Yorkshire and The Humber","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","Cabinet Office","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","London","AA/AO","10","10","[c]","[c]"
"In post","2021","Asian","Cabinet Office","London","EO","70","70","28100","27500"
"In post","2021","Asian","Cabinet Office","London","G6/G7","160","160","58530","56340"
"In post","2021","Asian","Cabinet Office","London","SCS level","25","25","[c]","[c]"
"In post","2021","Asian","Cabinet Office","London","SEO/HEO","145","145","37280","35590"
"In post","2021","Asian","Cabinet Office","North East (England)","AA/AO","5","5","[c]","[c]"
"In post","2021","Asian","Cabinet Office","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","North East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","North West (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","South East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","South East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","G6/G7","[c]","[c]","[c]","[c]"
