"Status","Year","Ethnicity","Parent_department","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","Aberdeen City and Aberdeenshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Berkshire","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Bexley and Greenwich","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Birmingham","Outside London","95","90","36140","28430"
"In post","2021","Asian","Attorney General's Departments","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Brighton and Hove","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Cambridgeshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Croydon","London","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Derby","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Flintshire and Wrexham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Haringey and Islington","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Harrow and Hillingdon","London","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Heart of Essex","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Hertfordshire","Outside London","20","15","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Hounslow and Richmond upon Thames","London","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Kingston upon Hull, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Leeds","Outside London","35","30","43370","48080"
"In post","2021","Asian","Attorney General's Departments","Leicester","Outside London","40","35","36100","30870"
"In post","2021","Asian","Attorney General's Departments","Lewisham and Southwark","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Manchester","Outside London","25","20","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Merton, Kingston upon Thames and Sutton","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Mid Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Mid Lancashire","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Northumberland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Norwich and East Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Nottingham","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Peterborough","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Portsmouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Redbridge and Waltham Forest","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Sheffield","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Shropshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South Teesside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Staffordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Stoke-on-Trent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Suffolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Wakefield","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Warrington","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","West Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","West Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","West Surrey","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","West Sussex (North East)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Westminster","London","560","525","44860","50500"
"In post","2021","Asian","Attorney General's Departments","Wiltshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Wolverhampton","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Worcestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","York","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Ards and North Down","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Belfast","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Blackpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Bradford","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Brighton and Hove","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Buckinghamshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Cambridgeshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Coventry","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Croydon","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Darlington","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Dorset CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","East Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Greater Manchester South East","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Greater Manchester South West","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Hackney and Newham","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Harrow and Hillingdon","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Lambeth","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Lancaster and Wyre","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Lewisham and Southwark","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Medway","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Mid Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Milton Keynes","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Monmouthshire and Newport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","North Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","North Yorkshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Norwich and East Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Peterborough","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Plymouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Portsmouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Sefton","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Sheffield","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","South Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","South Lanarkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","South Teesside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","South West Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Suffolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Telford and Wrekin","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Tower Hamlets","London","90","85","50810","54700"
"In post","2021","Asian","Cabinet Office","Tyneside","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","Unknown","20","20","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Warrington","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","West Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","West Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","West Sussex (North East)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Westminster","London","325","320","46290","40600"
"In post","2021","Asian","Cabinet Office","Wiltshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Blackpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Camden and City of London","London","30","25","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Durham CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Westminster","London","20","20","[c]","[c]"
"In post","2021","Asian","Charity Commission","Monmouthshire and Newport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Sefton","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Westminster","London","5","5","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Belfast","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Tower Hamlets","London","105","100","45900","37660"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Aberdeen City and Aberdeenshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Antrim and Newtownabbey","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Belfast","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Birmingham","Outside London","100","95","28690","24570"
