"Status","Year","Ethnicity","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Commercial","London","Heterosexual / straight","90","90","42850","40200"
"In post","2021","Asian","Commercial","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","London","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Outside London","Heterosexual / straight","115","110","36940","36500"
"In post","2021","Asian","Commercial","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","London","Heterosexual / straight","110","110","41270","37480"
"In post","2021","Asian","Communications","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","London","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Communications","London","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Communications","Outside London","Heterosexual / straight","35","35","34850","32230"
"In post","2021","Asian","Communications","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Asian","Corporate Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","Heterosexual / straight","35","30","38330","33100"
"In post","2021","Asian","Counter Fraud","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","London","Heterosexual / straight","395","390","46700","42550"
"In post","2021","Asian","Digital, Data and Technology","London","LGBO","10","10","[c]","[c]"
