"Status","Year","Ethnicity","Profession_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Commercial","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","AO","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","EO","Heterosexual / straight","35","35","27240","26870"
"In post","2021","Asian","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Asian","Commercial","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","HEO","Heterosexual / straight","50","50","32690","33050"
"In post","2021","Asian","Commercial","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","SEO","Heterosexual / straight","75","75","41600","41310"
"In post","2021","Asian","Commercial","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","Communications","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","EO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Asian","Communications","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Communications","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Asian","Communications","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Asian","Communications","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","HEO","Heterosexual / straight","55","55","35400","33700"
"In post","2021","Asian","Communications","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","HEO","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Communications","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","SEO","Heterosexual / straight","30","30","42340","41010"
"In post","2021","Asian","Communications","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","SEO","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","G6","Unknown","[c]","[c]","[c]","[c]"
