"Status","Year","Ethnicity","Profession_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Commercial","Female","Heterosexual / straight","105","105","38340","35310"
"In post","2021","Asian","Commercial","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Male","Heterosexual / straight","100","100","40840","38710"
"In post","2021","Asian","Commercial","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Male","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Female","Heterosexual / straight","95","95","40400","37480"
"In post","2021","Asian","Communications","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Communications","Male","Heterosexual / straight","50","50","38510","33840"
"In post","2021","Asian","Communications","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Male","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Communications","Male","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Female","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Female","Heterosexual / straight","255","245","43050","38630"
"In post","2021","Asian","Digital, Data and Technology","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Female","Undeclared","20","20","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Female","Unknown","45","45","39800","36280"
"In post","2021","Asian","Digital, Data and Technology","Male","Heterosexual / straight","440","435","42060","38630"
"In post","2021","Asian","Digital, Data and Technology","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Male","Undeclared","30","30","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Male","Unknown","60","60","43860","40650"
"In post","2021","Asian","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Female","Heterosexual / straight","65","60","46300","52500"
"In post","2021","Asian","Economics","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Economics","Male","Heterosexual / straight","95","95","42530","36160"
"In post","2021","Asian","Economics","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Male","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Economics","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Female","Heterosexual / straight","320","305","38740","35230"
"In post","2021","Asian","Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Female","Undeclared","20","20","[c]","[c]"
"In post","2021","Asian","Finance","Female","Unknown","30","25","[c]","[c]"
"In post","2021","Asian","Finance","Male","Heterosexual / straight","335","335","41230","37660"
"In post","2021","Asian","Finance","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Finance","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","Asian","Finance","Male","Unknown","20","20","[c]","[c]"
"In post","2021","Asian","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
