"Status","Year","Ethnicity","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","30","25","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","35","35","25060","21010"
"In post","2021","Asian","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barking & Dagenham and Havering","140","130","30720","31060"
"In post","2021","Asian","Barnet","400","375","37740","32090"
"In post","2021","Asian","Barnsley, Doncaster and Rotherham","25","25","[c]","[c]"
"In post","2021","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","360","350","35790","33190"
"In post","2021","Asian","Bedford","80","70","27780","27570"
"In post","2021","Asian","Belfast","5","5","[c]","[c]"
"In post","2021","Asian","Berkshire","300","275","30340","29290"
"In post","2021","Asian","Bexley and Greenwich","105","100","30500","31060"
"In post","2021","Asian","Birmingham","2435","2265","27080","25560"
"In post","2021","Asian","Blackburn with Darwen","130","115","25510","27570"
"In post","2021","Asian","Blackpool","85","85","29550","27570"
"In post","2021","Asian","Bournemouth and Poole","5","5","[c]","[c]"
"In post","2021","Asian","Bradford","685","610","25130","21440"
"In post","2021","Asian","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Brent","140","125","29920","31060"
"In post","2021","Asian","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Brighton and Hove","15","15","[c]","[c]"
"In post","2021","Asian","Bristol, City of","160","150","33640","27620"
"In post","2021","Asian","Bromley","20","20","[c]","[c]"
"In post","2021","Asian","Buckinghamshire CC","90","85","30820","27570"
"In post","2021","Asian","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Calderdale and Kirklees","145","130","26460","27570"
"In post","2021","Asian","Cambridgeshire CC","80","80","35750","29510"
"In post","2021","Asian","Camden and City of London","575","545","33280","29570"
"In post","2021","Asian","Cardiff and Vale of Glamorgan","235","220","29530","25560"
"In post","2021","Asian","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Central Bedfordshire","10","10","[c]","[c]"
"In post","2021","Asian","Central Hampshire","55","55","33840","29670"
"In post","2021","Asian","Central Valleys","5","5","[c]","[c]"
"In post","2021","Asian","Cheshire East","15","15","[c]","[c]"
"In post","2021","Asian","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chorley and West Lancashire","20","15","[c]","[c]"
"In post","2021","Asian","City of Edinburgh","125","120","34410","30650"
"In post","2021","Asian","Clackmannanshire and Fife","10","10","[c]","[c]"
"In post","2021","Asian","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Coventry","425","400","33600","29730"
"In post","2021","Asian","Croydon","1610","1500","34290","29570"
"In post","2021","Asian","Darlington","15","15","[c]","[c]"
"In post","2021","Asian","Derby","105","95","25500","22570"
"In post","2021","Asian","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon CC","35","30","34660","31610"
"In post","2021","Asian","Dorset CC","20","20","[c]","[c]"
"In post","2021","Asian","Dudley","90","85","24040","21010"
"In post","2021","Asian","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Durham CC","55","45","25090","21430"
"In post","2021","Asian","Ealing","195","175","31380","31060"
"In post","2021","Asian","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Cumbria","5","5","[c]","[c]"
"In post","2021","Asian","East Derbyshire","5","5","[c]","[c]"
"In post","2021","Asian","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","10","10","[c]","[c]"
"In post","2021","Asian","East Kent","40","40","27430","26670"
"In post","2021","Asian","East Lancashire","70","60","24680","27570"
"In post","2021","Asian","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Merseyside","10","10","[c]","[c]"
"In post","2021","Asian","East Riding of Yorkshire","10","10","[c]","[c]"
"In post","2021","Asian","East Surrey","40","35","30460","29290"
"In post","2021","Asian","East Sussex CC","15","15","[c]","[c]"
"In post","2021","Asian","Enfield","70","60","30170","31060"
