"Status","Year","Ethnicity","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","AA/AO","8005","7040","22230","21090"
"In post","2021","Asian","EO","9810","9160","28250","27570"
"In post","2021","Asian","G6/G7","3005","2925","58570","57300"
"In post","2021","Asian","SCS level","310","295","92820","89810"
"In post","2021","Asian","SEO/HEO","7415","7195","36930","36160"
"In post","2021","Asian","Unknown","615","575","29950","28200"
"In post","2021","Black","AA/AO","4095","3810","24160","23500"
"In post","2021","Black","EO","5420","5190","29180","29290"
"In post","2021","Black","G6/G7","1270","1255","58040","56470"
"In post","2021","Black","SCS level","95","95","95180","86810"
"In post","2021","Black","SEO/HEO","3900","3830","37340","36360"
"In post","2021","Black","Unknown","815","790","31230","28200"
"In post","2021","Chinese","AA/AO","265","240","22130","21110"
"In post","2021","Chinese","EO","300","285","27810","27570"
"In post","2021","Chinese","G6/G7","250","245","58320","56120"
"In post","2021","Chinese","SCS level","20","20","[c]","[c]"
"In post","2021","Chinese","SEO/HEO","395","385","37540","36760"
"In post","2021","Chinese","Unknown","15","15","[c]","[c]"
"In post","2021","Mixed","AA/AO","1920","1775","23090","21430"
"In post","2021","Mixed","EO","2210","2090","28110","27570"
"In post","2021","Mixed","G6/G7","1300","1255","58250","56350"
"In post","2021","Mixed","SCS level","145","140","84040","79390"
"In post","2021","Mixed","SEO/HEO","2305","2245","36800","36160"
"In post","2021","Mixed","Unknown","385","365","30990","30210"
"In post","2021","Other ethnicity","AA/AO","570","520","23480","21590"
"In post","2021","Other ethnicity","EO","735","695","28460","27660"
"In post","2021","Other ethnicity","G6/G7","445","425","59780","57460"
"In post","2021","Other ethnicity","SCS level","65","60","88330","83980"
"In post","2021","Other ethnicity","SEO/HEO","705","685","38030","37000"
"In post","2021","Other ethnicity","Unknown","75","70","31030","31910"
"In post","2021","Undeclared","AA/AO","5020","4500","22570","21130"
"In post","2021","Undeclared","EO","5870","5380","28280","27570"
"In post","2021","Undeclared","G6/G7","2840","2745","58650","57110"
"In post","2021","Undeclared","SCS level","185","180","90060","82440"
"In post","2021","Undeclared","SEO/HEO","6095","5845","37370","36760"
"In post","2021","Undeclared","Unknown","540","515","35290","33740"
"In post","2021","Unknown","AA/AO","23675","21875","22180","21010"
"In post","2021","Unknown","EO","14740","14070","27600","27570"
"In post","2021","Unknown","G6/G7","7935","7695","58720","56240"
"In post","2021","Unknown","SCS level","1155","1130","90790","79930"
"In post","2021","Unknown","SEO/HEO","16455","15980","35690","34640"
"In post","2021","Unknown","Unknown","3110","2990","34050","32690"
"In post","2021","White","AA/AO","97115","86835","22460","21010"
"In post","2021","White","EO","89805","82585","27580","27570"
"In post","2021","White","G6/G7","45375","43640","58870","57140"
"In post","2021","White","SCS level","5320","5140","90470","82530"
"In post","2021","White","SEO/HEO","91770","87780","36900","36140"
"In post","2021","White","Unknown","11010","10280","32070","30680"
"Leaver CS","2021","Asian","AA/AO","540","[c]","21690","21010"
"Leaver CS","2021","Asian","EO","320","[c]","27770","27570"
"Leaver CS","2021","Asian","G6/G7","85","[c]","60140","58090"
"Leaver CS","2021","Asian","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","Asian","SEO/HEO","215","[c]","36940","36790"
"Leaver CS","2021","Asian","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2021","Black","AA/AO","265","[c]","22650","22680"
"Leaver CS","2021","Black","EO","135","[c]","27940","27660"
"Leaver CS","2021","Black","G6/G7","40","[c]","57790","55000"
"Leaver CS","2021","Black","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","Black","SEO/HEO","120","[c]","36780","35490"
"Leaver CS","2021","Black","Unknown","35","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","AA/AO","20","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","EO","10","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","SEO/HEO","15","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","AA/AO","175","[c]","21800","21010"
"Leaver CS","2021","Mixed","EO","90","[c]","27770","27570"
"Leaver CS","2021","Mixed","G6/G7","35","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","SEO/HEO","75","[c]","37350","37150"
"Leaver CS","2021","Mixed","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","AA/AO","45","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","EO","30","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","G6/G7","20","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","SEO/HEO","35","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","485","[c]","21120","20180"
"Leaver CS","2021","Undeclared","EO","320","[c]","28230","27570"
"Leaver CS","2021","Undeclared","G6/G7","120","[c]","58950","56920"
"Leaver CS","2021","Undeclared","SCS level","15","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SEO/HEO","365","[c]","37140","36030"
"Leaver CS","2021","Undeclared","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","2865","[c]","21170","21010"
"Leaver CS","2021","Unknown","EO","1380","[c]","27170","27570"
"Leaver CS","2021","Unknown","G6/G7","535","[c]","60600","58000"
"Leaver CS","2021","Unknown","SCS level","100","[c]","100250","86750"
"Leaver CS","2021","Unknown","SEO/HEO","1025","[c]","36240","35310"
"Leaver CS","2021","Unknown","Unknown","645","[c]","34750","32400"
"Leaver CS","2021","White","AA/AO","7515","[c]","21180","21010"
"Leaver CS","2021","White","EO","3895","[c]","27330","27570"
"Leaver CS","2021","White","G6/G7","1650","[c]","60810","58340"
"Leaver CS","2021","White","SCS level","315","[c]","97550","94700"
"Leaver CS","2021","White","SEO/HEO","3680","[c]","37370","36670"
"Leaver CS","2021","White","Unknown","520","[c]","37480","35790"
"Leaver Dept.","2021","Asian","AA/AO","230","[c]","21410","20920"
