"Status","Year","Function_of_post","Organisation","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Heterosexual / straight","175","165","32880","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Undeclared","30","25","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Unknown","270","255","34420","30220"
"In post","2021","Analysis","Charity Commission","Charity Commission","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Competition and Markets Authority","Heterosexual / straight","100","95","59350","56360"
"In post","2021","Analysis","Competition and Markets Authority","Competition and Markets Authority","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Competition and Markets Authority","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Competition and Markets Authority","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Attorney General's Departments","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","HM Treasury","Unknown","25","25","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","Heterosexual / straight","330","315","40120","37360"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","LGBO","20","20","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","Undeclared","40","40","41570","41890"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","Unknown","60","60","42310","46080"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","195","190","44700","37820"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","LGBO","25","25","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Undeclared","25","25","[c]","[c]"
