"Status","Year","Function_of_post","Organisation","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Female","210","195","30970","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Male","270","260","35860","30660"
"In post","2021","Analysis","Charity Commission","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Economics","Female","40","40","60440","57850"
"In post","2021","Analysis","Competition and Markets Authority","Economics","Male","55","50","64140","61650"
"In post","2021","Analysis","Competition and Markets Authority","Intelligence Analysis","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Intelligence Analysis","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Digital, Data and Technology","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Digital, Data and Technology","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Operational Delivery","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Policy","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Policy","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
