"Status","Year","Function_of_post","Organisation","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Heterosexual / straight","170","160","32800","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Undeclared","30","25","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Unknown","270","255","34420","30220"
"In post","2021","Analysis","Charity Commission","Intelligence Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Operational Delivery","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Economics","Heterosexual / straight","70","65","62960","59140"
"In post","2021","Analysis","Competition and Markets Authority","Economics","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Economics","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Economics","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Intelligence Analysis","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Digital, Data and Technology","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Operational Delivery","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Policy","Unknown","15","10","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Commercial","Unknown","[c]","[c]","[c]","[c]"
