"Status","Year","Function_of_post","Organisation","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Inner London - West","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Inner London - West","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","Female","55","50","30320","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","Male","65","60","35290","29990"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","Female","150","140","31340","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","Male","200","190","36560","35900"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Dorset and Somerset","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Dorset and Somerset","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Inner London - West","Female","[c]","[c]","[c]","[c]"
