"Status","Year","Function_of_post","Organisation","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Westminster","London","25","25","41860","35070"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset CC","Outside London","115","110","33040","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire CC","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Plymouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Suffolk","Outside London","350","330","34300","30220"
"In post","2021","Analysis","Charity Commission","Sefton","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Westminster","London","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","City of Edinburgh","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","London","130","125","60780","56360"
"In post","2021","Analysis","Crown Prosecution Service","Flintshire and Wrexham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Wakefield","Outside London","10","10","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Camden and City of London","London","25","25","69150","60930"
"In post","2021","Analysis","Defence Electronics and Components Agency","Staffordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Cambridgeshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Central Hampshire","Outside London","335","320","40980","37940"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","South Hampshire","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Wiltshire","Outside London","110","110","37730","37320"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Westminster","London","290","285","43330","36220"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Westminster","London","140","140","52490","49720"
"In post","2021","Analysis","Department for Education (excl. agencies)","Bristol, City of","Outside London","20","15","41410","41990"
"In post","2021","Analysis","Department for Education (excl. agencies)","Coventry","Outside London","10","10","41650","40130"
"In post","2021","Analysis","Department for Education (excl. agencies)","Darlington","Outside London","30","30","43530","42580"
"In post","2021","Analysis","Department for Education (excl. agencies)","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Manchester","Outside London","40","40","37840","41990"
"In post","2021","Analysis","Department for Education (excl. agencies)","Nottingham","Outside London","10","10","42290","42500"
"In post","2021","Analysis","Department for Education (excl. agencies)","Sheffield","Outside London","120","115","44020","42420"
"In post","2021","Analysis","Department for Education (excl. agencies)","Westminster","London","175","165","46830","45540"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Bristol, City of","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Westminster","London","20","20","45530","40060"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","York","Outside London","45","45","35100","31310"
"In post","2021","Analysis","Department for International Trade","Berkshire","Outside London","15","15","49050","51970"
"In post","2021","Analysis","Department for International Trade","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Westminster","London","230","230","42740","38540"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","East Sussex CC","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","West Surrey","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Westminster","London","380","370","46950","43360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","East Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Leeds","Outside London","85","85","47560","49530"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Westminster","London","200","190","53940","53360"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Swansea","Outside London","25","25","27000","26780"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Birmingham","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Bristol, City of","Outside London","15","15","33680","31380"
