"Status","Year","Function_of_post","Parent_department","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","Digital, Data and Technology","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Digital, Data and Technology","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Digital, Data and Technology","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Digital, Data and Technology","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Digital, Data and Technology","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Digital, Data and Technology","West Yorkshire","10","10","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Other","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","Inner London - West","25","25","41860","35070"
"In post","2021","Analysis","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Communications","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Other","Eastern Scotland","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Other","Inner London - West","170","155","68710","65470"
"In post","2021","Analysis","Chancellor's other departments","Social Research","Inner London - West","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Intelligence Analysis","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Intelligence Analysis","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Operational Delivery","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Operational Delivery","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Other","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Other","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Policy","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Unknown","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Economics","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Economics","Inner London - East","90","85","63040","59890"
"In post","2021","Analysis","Competition and Markets Authority","Intelligence Analysis","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Intelligence Analysis","Inner London - East","30","30","53750","46940"
"In post","2021","Analysis","Competition and Markets Authority","Statistics","Inner London - East","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Economics","East Wales","10","10","48610","50140"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Economics","Inner London - West","200","195","41080","35640"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","Inner London - West","15","15","50070","46050"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","Inner London - West","20","20","52330","57080"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Policy","Inner London - West","20","20","49380","53380"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Social Research","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","Devon","[c]","[c]","[c]","[c]"
