"Status","Year","Function_of_post","Parent_department","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","Digital, Data and Technology","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Digital, Data and Technology","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Other","Female","60","55","66660","65470"
"In post","2021","Analysis","Chancellor's other departments","Other","Male","115","110","70700","60020"
"In post","2021","Analysis","Chancellor's other departments","Social Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Economics","Female","40","40","60440","57850"
"In post","2021","Analysis","Competition and Markets Authority","Economics","Male","55","50","64140","61650"
"In post","2021","Analysis","Competition and Markets Authority","Intelligence Analysis","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Intelligence Analysis","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Economics","Female","70","70","40430","33880"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Economics","Male","140","140","42040","35640"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Policy","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Policy","Male","15","15","[c]","[c]"
