"Status","Year","Function_of_post","Parent_department","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","East Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Inner London - West","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Merseyside","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","North Yorkshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","North Yorkshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","North Yorkshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Northumberland and Tyne and Wear","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","West Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","West Yorkshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","West Yorkshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","West Yorkshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Inner London - West","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Inner London - West","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Inner London - West","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Inner London - West","HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Inner London - West","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Eastern Scotland","G6","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Eastern Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Inner London - West","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Inner London - West","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Inner London - West","EO","10","10","28660","28230"
"In post","2021","Analysis","Chancellor's other departments","Inner London - West","G6","85","75","92120","89720"
"In post","2021","Analysis","Chancellor's other departments","Inner London - West","G7","15","15","58210","57250"
"In post","2021","Analysis","Chancellor's other departments","Inner London - West","HEO","30","30","35840","36120"
"In post","2021","Analysis","Chancellor's other departments","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Inner London - West","SEO","25","25","47770","48610"
"In post","2021","Analysis","Charity Commission","Dorset and Somerset","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Dorset and Somerset","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Inner London - West","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Inner London - West","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Inner London - West","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Merseyside","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Merseyside","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Eastern Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Eastern Scotland","HEO","[c]","[c]","[c]","[c]"
