"Status","Year","Function_of_post","Parent_department","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","Camden and City of London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Camden and City of London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Flintshire and Wrexham","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Flintshire and Wrexham","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Liverpool","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Liverpool","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Tyneside","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Tyneside","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Wakefield","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Wakefield","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Westminster","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Westminster","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","York","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","York","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Westminster","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Westminster","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Camden and City of London","Female","55","50","67880","65470"
"In post","2021","Analysis","Chancellor's other departments","Camden and City of London","Male","110","105","70120","59410"
"In post","2021","Analysis","Chancellor's other departments","City of Edinburgh","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","City of Edinburgh","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Westminster","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Westminster","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Sefton","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Sefton","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Somerset","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Somerset","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Westminster","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Westminster","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","City of Edinburgh","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","City of Edinburgh","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","Female","50","50","58250","56360"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","Male","80","75","62430","57880"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Birmingham","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Birmingham","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Bristol, City of","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Bristol, City of","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","City of Edinburgh","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","City of Edinburgh","Male","[c]","[c]","[c]","[c]"
