"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","EO","40","40","27210","26470"
"In post","2021","Analysis","Digital, Data and Technology","G6/G7","65","65","56590","54160"
"In post","2021","Analysis","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","SEO/HEO","125","115","38880","39890"
"In post","2021","Analysis","Economics","AA/AO","50","50","21840","19130"
"In post","2021","Analysis","Economics","EO","85","85","27180","27680"
"In post","2021","Analysis","Economics","G6/G7","510","490","59910","58130"
"In post","2021","Analysis","Economics","SCS level","60","60","90730","82810"
"In post","2021","Analysis","Economics","SEO/HEO","575","570","34860","33930"
"In post","2021","Analysis","Finance","EO","10","10","27260","27130"
"In post","2021","Analysis","Finance","G6/G7","20","20","62110","61850"
"In post","2021","Analysis","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","SEO/HEO","15","15","36640","35000"
"In post","2021","Analysis","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","SEO/HEO","15","15","41770","40050"
"In post","2021","Analysis","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","G6/G7","200","195","57990","54320"
"In post","2021","Analysis","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","SEO/HEO","75","70","36850","36080"
"In post","2021","Analysis","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","EO","15","15","27610","26780"
"In post","2021","Analysis","Knowledge and Information Management","G6/G7","10","10","58690","57710"
"In post","2021","Analysis","Knowledge and Information Management","SEO/HEO","25","25","36600","33820"
"In post","2021","Analysis","Operational Delivery","AA/AO","30","30","20320","19520"
"In post","2021","Analysis","Operational Delivery","EO","175","155","24920","24240"
"In post","2021","Analysis","Operational Delivery","G6/G7","55","55","53880","49410"
"In post","2021","Analysis","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","SEO/HEO","325","315","33590","32540"
"In post","2021","Analysis","Operational Research","AA/AO","25","25","23110","21590"
"In post","2021","Analysis","Operational Research","EO","20","20","26630","26460"
"In post","2021","Analysis","Operational Research","G6/G7","275","260","55120","56350"
"In post","2021","Analysis","Operational Research","SCS level","10","10","[c]","[c]"
"In post","2021","Analysis","Operational Research","SEO/HEO","330","320","36790","37320"
"In post","2021","Analysis","Other","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Other","EO","25","25","28430","28230"
"In post","2021","Analysis","Other","G6/G7","120","110","84100","79450"
"In post","2021","Analysis","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","SEO/HEO","60","60","40620","38000"
"In post","2021","Analysis","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","EO","20","15","29540","29500"
"In post","2021","Analysis","Policy","G6/G7","130","125","57560","54400"
"In post","2021","Analysis","Policy","SCS level","10","10","[c]","[c]"
"In post","2021","Analysis","Policy","SEO/HEO","185","175","40180","41900"
"In post","2021","Analysis","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","AA/AO","40","40","20750","21050"
"In post","2021","Analysis","Science and Engineering","EO","95","90","25200","24920"
"In post","2021","Analysis","Science and Engineering","G6/G7","150","140","52950","48080"
"In post","2021","Analysis","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","SEO/HEO","380","365","33190","30660"
"In post","2021","Analysis","Social Research","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Social Research","EO","15","15","24170","23050"
"In post","2021","Analysis","Social Research","G6/G7","255","245","55560","54780"
"In post","2021","Analysis","Social Research","SCS level","10","10","[c]","[c]"
"In post","2021","Analysis","Social Research","SEO/HEO","585","560","35100","36030"
"In post","2021","Analysis","Statistics","AA/AO","30","30","22130","21590"
"In post","2021","Analysis","Statistics","EO","200","195","27320","27200"
"In post","2021","Analysis","Statistics","G6/G7","570","545","56830","57110"
"In post","2021","Analysis","Statistics","SCS level","50","50","85140","78340"
"In post","2021","Analysis","Statistics","SEO/HEO","925","900","36540","36780"
"In post","2021","Analysis","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","SEO/HEO","15","15","37040","36160"
"In post","2021","Analysis","Unknown","EO","20","20","27440","27500"
"In post","2021","Analysis","Unknown","G6/G7","35","35","59430","59160"
"In post","2021","Analysis","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","SEO/HEO","40","40","38990","38630"
"In post","2021","Commercial","Commercial","AA/AO","265","245","22510","21590"
"In post","2021","Commercial","Commercial","EO","540","515","26660","26670"
"In post","2021","Commercial","Commercial","G6/G7","720","700","59350","56950"
"In post","2021","Commercial","Commercial","SCS level","85","80","88720","78560"
"In post","2021","Commercial","Commercial","SEO/HEO","2265","2195","38290","37940"
"In post","2021","Commercial","Commercial","Unknown","220","215","38620","37230"
"In post","2021","Commercial","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","AA/AO","5","5","[c]","[c]"
"In post","2021","Commercial","Finance","EO","20","20","25710","26690"
"In post","2021","Commercial","Finance","G6/G7","5","5","[c]","[c]"
"In post","2021","Commercial","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","SEO/HEO","35","35","34750","34500"
