"Status","Year","Function_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","East Midlands (England)","Female","20","15","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Male","30","30","37100","33350"
"In post","2021","Analysis","East of England","Female","170","155","32370","29990"
"In post","2021","Analysis","East of England","Male","215","210","37180","35900"
"In post","2021","Analysis","London","Female","1485","1415","48450","44380"
"In post","2021","Analysis","London","Male","1955","1925","49350","45250"
"In post","2021","Analysis","London","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","North East (England)","Female","30","25","[c]","[c]"
"In post","2021","Analysis","North East (England)","Male","30","30","40930","41340"
"In post","2021","Analysis","North West (England)","Female","170","155","38710","36840"
"In post","2021","Analysis","North West (England)","Male","200","195","38310","38630"
"In post","2021","Analysis","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Female","30","30","[c]","[c]"
"In post","2021","Analysis","Scotland","Male","40","40","49670","39290"
"In post","2021","Analysis","South East (England)","Female","375","345","37700","37020"
"In post","2021","Analysis","South East (England)","Male","490","480","40030","37320"
"In post","2021","Analysis","South East (England)","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","South West (England)","Female","220","200","36420","33300"
"In post","2021","Analysis","South West (England)","Male","245","240","37600","36000"
"In post","2021","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Female","555","515","35200","33020"
"In post","2021","Analysis","Wales","Male","515","505","37520","36030"
"In post","2021","Analysis","Wales","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Female","30","30","41420","38830"
"In post","2021","Analysis","West Midlands (England)","Male","35","30","41100","38650"
"In post","2021","Analysis","Yorkshire and The Humber","Female","175","165","39910","39110"
"In post","2021","Analysis","Yorkshire and The Humber","Male","170","165","43040","42420"
"In post","2021","Commercial","East Midlands (England)","Female","90","85","36840","31930"
"In post","2021","Commercial","East Midlands (England)","Male","75","75","45310","42320"
"In post","2021","Commercial","East of England","Female","215","205","38650","35730"
"In post","2021","Commercial","East of England","Male","175","175","44290","39950"
"In post","2021","Commercial","London","Female","890","865","54130","51260"
"In post","2021","Commercial","London","Male","990","980","63090","56490"
"In post","2021","Commercial","North East (England)","Female","55","50","43700","38280"
"In post","2021","Commercial","North East (England)","Male","55","55","50320","50850"
"In post","2021","Commercial","North West (England)","Female","410","390","41830","37100"
"In post","2021","Commercial","North West (England)","Male","365","360","44580","38990"
"In post","2021","Commercial","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Overseas","Male","35","35","50400","43860"
"In post","2021","Commercial","Scotland","Female","175","170","37780","33930"
"In post","2021","Commercial","Scotland","Male","215","210","38200","34850"
"In post","2021","Commercial","South East (England)","Female","375","360","36030","33300"
"In post","2021","Commercial","South East (England)","Male","295","290","42670","40000"
"In post","2021","Commercial","South West (England)","Female","650","610","39670","35130"
"In post","2021","Commercial","South West (England)","Male","705","695","44690","40900"
"In post","2021","Commercial","Unknown","Female","15","15","[c]","[c]"
"In post","2021","Commercial","Unknown","Male","15","15","[c]","[c]"
"In post","2021","Commercial","Wales","Female","185","170","34080","31380"
"In post","2021","Commercial","Wales","Male","175","170","37270","32180"
"In post","2021","Commercial","West Midlands (England)","Female","190","180","39080","36100"
"In post","2021","Commercial","West Midlands (England)","Male","160","160","41780","36970"
"In post","2021","Commercial","Yorkshire and The Humber","Female","275","265","44420","38540"
"In post","2021","Commercial","Yorkshire and The Humber","Male","185","180","46990","43570"
"In post","2021","Communications","East Midlands (England)","Female","245","235","30890","26780"
"In post","2021","Communications","East Midlands (England)","Male","265","265","28820","25560"
"In post","2021","Communications","East of England","Female","50","45","34550","31810"
"In post","2021","Communications","East of England","Male","50","50","31950","29230"
"In post","2021","Communications","London","Female","1385","1335","45100","41030"
"In post","2021","Communications","London","Male","1065","1060","44360","40600"
"In post","2021","Communications","North East (England)","Female","800","735","27990","25560"
"In post","2021","Communications","North East (England)","Male","740","725","28000","25560"
"In post","2021","Communications","North West (England)","Female","345","325","31720","29360"
"In post","2021","Communications","North West (England)","Male","365","365","30060","25560"
"In post","2021","Communications","Northern Ireland","Female","25","25","[c]","[c]"
"In post","2021","Communications","Northern Ireland","Male","10","10","[c]","[c]"
"In post","2021","Communications","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","Female","115","100","33840","31810"
"In post","2021","Communications","Scotland","Male","105","100","32170","30080"
"In post","2021","Communications","South East (England)","Female","170","160","33670","32560"
"In post","2021","Communications","South East (England)","Male","160","155","32460","29540"
"In post","2021","Communications","South West (England)","Female","185","170","35870","33350"
"In post","2021","Communications","South West (England)","Male","170","165","35990","33300"
"In post","2021","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","Female","495","460","29680","25560"
"In post","2021","Communications","Wales","Male","465","460","29160","25560"
"In post","2021","Communications","West Midlands (England)","Female","180","170","33640","31810"
"In post","2021","Communications","West Midlands (England)","Male","165","165","32080","31810"
"In post","2021","Communications","Yorkshire and The Humber","Female","300","285","31590","25560"
"In post","2021","Communications","Yorkshire and The Humber","Male","340","335","29600","25560"
"In post","2021","Counter Fraud","East Midlands (England)","Female","245","225","31900","31810"
"In post","2021","Counter Fraud","East Midlands (England)","Male","295","285","34890","31810"
"In post","2021","Counter Fraud","East of England","Female","240","215","27280","25560"
"In post","2021","Counter Fraud","East of England","Male","205","200","30170","28130"
"In post","2021","Counter Fraud","London","Female","995","940","37540","36160"
"In post","2021","Counter Fraud","London","Male","1320","1290","40500","36160"
"In post","2021","Counter Fraud","North East (England)","Female","265","245","31410","31810"
"In post","2021","Counter Fraud","North East (England)","Male","270","265","32780","31810"
"In post","2021","Counter Fraud","North West (England)","Female","805","735","32040","31810"
"In post","2021","Counter Fraud","North West (England)","Male","885","855","33900","31810"
"In post","2021","Counter Fraud","Northern Ireland","Female","185","170","30810","28130"
"In post","2021","Counter Fraud","Northern Ireland","Male","210","205","31510","31810"
"In post","2021","Counter Fraud","Scotland","Female","440","390","29460","28130"
"In post","2021","Counter Fraud","Scotland","Male","410","390","31920","31810"
"In post","2021","Counter Fraud","South East (England)","Female","205","190","30170","28130"
"In post","2021","Counter Fraud","South East (England)","Male","235","225","32340","31810"
"In post","2021","Counter Fraud","South West (England)","Female","165","150","34060","31810"
"In post","2021","Counter Fraud","South West (England)","Male","230","220","36330","31810"
"In post","2021","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Wales","Female","200","175","29730","26950"
"In post","2021","Counter Fraud","Wales","Male","200","195","32840","31810"
"In post","2021","Counter Fraud","West Midlands (England)","Female","360","325","30740","28130"
"In post","2021","Counter Fraud","West Midlands (England)","Male","370","350","33550","31810"
"In post","2021","Counter Fraud","Yorkshire and The Humber","Female","405","360","31390","30730"
"In post","2021","Counter Fraud","Yorkshire and The Humber","Male","465","450","33320","31810"
"In post","2021","Debt","East Midlands (England)","Female","135","120","21820","20140"
"In post","2021","Debt","East Midlands (England)","Male","120","115","21400","20140"
"In post","2021","Debt","East of England","Female","90","75","24750","25120"
"In post","2021","Debt","East of England","Male","55","50","25140","24670"
"In post","2021","Debt","London","Female","350","300","27100","25630"
"In post","2021","Debt","London","Male","210","200","30210","25630"
"In post","2021","Debt","North East (England)","Female","330","285","21330","20140"
"In post","2021","Debt","North East (England)","Male","260","255","21970","20140"
"In post","2021","Debt","North West (England)","Female","185","160","23740","21440"
"In post","2021","Debt","North West (England)","Male","160","155","23330","21440"
