"Status","Year","Organisation","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","AA/AO","35","30","22070","22230"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","EO","45","40","28950","29190"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","G6/G7","5","5","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","SEO/HEO","30","30","38770","35110"
"In post","2021","Accountant in Bankruptcy","Glasgow City","EO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Glasgow City","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","EO","35","30","24700","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","SEO/HEO","50","45","34480","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","EO","15","10","26000","26380"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","SEO/HEO","35","35","34630","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","EO","35","35","24630","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","SEO/HEO","50","50","34220","32260"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","AA/AO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","EO","45","40","24610","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","SEO/HEO","50","45","34050","31640"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","EO","20","20","24710","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","SEO/HEO","40","40","34430","32260"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","AA/AO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","EO","65","60","24600","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","SEO/HEO","75","65","34230","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","North Hampshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North Hampshire","EO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North Hampshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North Hampshire","SEO/HEO","20","20","37090","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","AA/AO","15","10","19970","19790"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","EO","30","30","24460","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","SEO/HEO","45","45","34050","31220"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","EO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","SEO/HEO","25","25","34910","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","EO","65","60","24580","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","SEO/HEO","70","60","33810","31130"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","AA/AO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","EO","35","35","28570","28750"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","G6/G7","25","25","61340","59470"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","SCS level","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","SEO/HEO","125","125","41470","39120"
"In post","2021","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bristol, City of","AA/AO","35","35","21200","21050"
"In post","2021","Animal and Plant Health Agency","Bristol, City of","EO","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bristol, City of","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bristol, City of","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Caithness and Sutherland and Ross and Cromarty","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Caithness and Sutherland and Ross and Cromarty","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cambridgeshire CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cambridgeshire CC","EO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cambridgeshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cambridgeshire CC","SEO/HEO","15","10","31950","31900"
"In post","2021","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","AA/AO","45","45","21050","21050"
"In post","2021","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","EO","10","10","25090","25100"
"In post","2021","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","G6/G7","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","SEO/HEO","20","20","33850","31530"
"In post","2021","Animal and Plant Health Agency","Central Hampshire","EO","10","10","24930","25010"
"In post","2021","Animal and Plant Health Agency","Central Hampshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Central Hampshire","SEO/HEO","10","10","33930","30610"
"In post","2021","Animal and Plant Health Agency","Cheshire East","EO","15","15","25340","25100"
"In post","2021","Animal and Plant Health Agency","Cheshire East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire East","SEO/HEO","15","15","36810","36520"
"In post","2021","Animal and Plant Health Agency","City of Edinburgh","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","AA/AO","15","10","21070","21050"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","EO","15","15","25090","25320"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","G6/G7","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","SEO/HEO","20","20","39070","37800"
"In post","2021","Animal and Plant Health Agency","Devon CC","AA/AO","110","105","21100","21050"
"In post","2021","Animal and Plant Health Agency","Devon CC","EO","45","40","25460","25190"
"In post","2021","Animal and Plant Health Agency","Devon CC","G6/G7","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon CC","SEO/HEO","40","40","37630","37360"
"In post","2021","Animal and Plant Health Agency","Dorset CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dorset CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dorset CC","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dumfries and Galloway","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dumfries and Galloway","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Cumbria","AA/AO","100","95","21080","21050"
"In post","2021","Animal and Plant Health Agency","East Cumbria","EO","25","25","25330","25100"
"In post","2021","Animal and Plant Health Agency","East Cumbria","G6/G7","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Cumbria","SEO/HEO","25","20","38660","37240"
"In post","2021","Animal and Plant Health Agency","East Kent","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Kent","EO","30","25","26380","24920"
"In post","2021","Animal and Plant Health Agency","East Kent","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Lothian and Midlothian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Lothian and Midlothian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Lothian and Midlothian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Lothian and Midlothian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Riding of Yorkshire","EO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Riding of Yorkshire","SEO/HEO","10","10","35400","35060"
"In post","2021","Animal and Plant Health Agency","Gloucestershire","AA/AO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gloucestershire","EO","20","15","25490","25320"
"In post","2021","Animal and Plant Health Agency","Gloucestershire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gloucestershire","SEO/HEO","30","30","36820","36780"
"In post","2021","Animal and Plant Health Agency","Gwynedd","AA/AO","35","25","21080","21050"
"In post","2021","Animal and Plant Health Agency","Gwynedd","EO","15","15","26170","26130"
"In post","2021","Animal and Plant Health Agency","Gwynedd","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gwynedd","SEO/HEO","15","15","35170","36520"
"In post","2021","Animal and Plant Health Agency","Harrow and Hillingdon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Harrow and Hillingdon","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Harrow and Hillingdon","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Harrow and Hillingdon","SEO/HEO","10","10","43350","44120"
"In post","2021","Animal and Plant Health Agency","Heart of Essex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Heart of Essex","EO","20","20","26510","26520"
"In post","2021","Animal and Plant Health Agency","Heart of Essex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Heart of Essex","SEO/HEO","15","15","34450","32830"
