"Status","Year","Parent_department","Profession_of_post","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Stoke-on-Trent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Westminster","London","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","York","Outside London","10","10","41500","38180"
"In post","2021","Attorney General's Departments","Communications","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Leicester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Mid Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Sheffield","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","South Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Wakefield","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Westminster","London","60","60","43790","39750"
"In post","2021","Attorney General's Departments","Communications","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Westminster","London","10","10","[c]","[c]"
